,股票代码,策略命中时间,买入价,当前价,收益金额,收益率,所属行业,公司名称
0,SH600269,2023-09-20,4.01,4.18,16.999999999999993,0.0423940149625935,高速公路,赣粤高速
1,SH601988,2023-10-13,3.87,3.99,12.00000000000001,0.0310077519379845,银行,中国银行
2,SH603712,2023-11-14,29.15,31.62,247.00000000000023,0.0847341337907376,通讯行业,七一二
3,SZ300853,2023-12-14,23.9,26.6,270.0000000000003,0.1129707112970712,通用设备,申昊科技
4,SH600114,2023-07-19,8.6,14.17,557.0,0.6476744186046512,通用设备,东睦股份
5,SH600435,2023-10-31,10.9,11.8,90.00000000000003,0.0825688073394495,通信设备,北方导航
6,SZ300085,2023-11-17,14.76,15.3,54.00000000000009,0.0365853658536586,软件服务,银之杰
7,SH603408,2023-11-07,11.6,12.85,125.0,0.1077586206896551,装修装饰,建霖家居
8,SH600150,2023-12-13,28.62,29.31,68.99999999999977,0.0241090146750523,船舶制造,中国船舶
9,SZ002933,2023-11-09,28.58,38.46,988.0000000000002,0.3456962911126663,航天航空,新兴装备
10,SZ002466,2023-12-21,51.04,54.09,305.00000000000045,0.0597570532915361,能源金属,天齐锂业
11,SZ000009,2023-10-30,10.2,11.65,145.0000000000001,0.1421568627450981,综合行业,中国宝安
12,SH600398,2023-12-22,7.55,7.57,2.000000000000046,0.0026490066225166,纺织服装,海澜之家
13,SH600777,2023-12-07,2.7,2.97,27.0,0.1,石油行业,新潮能源
14,SZ002074,2023-12-19,19.94,20.4,45.99999999999973,0.0230692076228684,电池,国轩高科
15,SH600241,2023-10-30,7.56,8.53,96.99999999999996,0.1283068783068782,电池,时代万恒
16,SH601985,2023-12-12,7.17,7.37,20.000000000000018,0.0278940027894003,电力行业,中国核电
17,SH600863,2023-11-20,3.65,3.9,25.0,0.0684931506849315,电力行业,内蒙华电
18,SH600795,2023-11-14,3.77,4.2,43.000000000000014,0.1140583554376658,电力行业,国电电力
19,SH600900,2023-11-10,22.57,23.18,60.99999999999994,0.027027027027027,电力行业,长江电力
20,SH600025,2023-08-29,7.22,8.72,150.00000000000009,0.2077562326869807,电力行业,华能水电
21,SH603392,2023-12-21,59.0,64.54,554.0000000000007,0.0938983050847458,生物制品,万泰生物
22,SZ000937,2023-12-05,7.04,7.19,15.000000000000036,0.0213068181818182,煤炭采选,冀中能源
23,SH600997,2023-11-28,7.32,7.83,50.99999999999998,0.0696721311475409,煤炭采选,开滦股份
24,SH600971,2023-09-04,8.55,11.27,271.9999999999999,0.3181286549707601,煤炭采选,恒源煤电
25,SH601866,2023-12-11,2.41,2.43,2.0000000000000018,0.0082987551867219,港口水运,中远海发
26,SH601919,2023-12-01,10.0,10.19,18.99999999999995,0.0189999999999999,港口水运,中远海控
27,SH601018,2023-11-16,3.47,3.64,16.999999999999993,0.0489913544668587,港口水运,宁波港
28,SZ002351,2023-11-03,16.61,17.05,44.00000000000013,0.0264900662251656,消费电子,漫步者
29,SZ002510,2023-10-17,4.11,5.14,102.99999999999994,0.2506082725060825,汽车行业,天汽模
30,SH601058,2023-12-12,11.3,11.43,12.9999999999999,0.0115044247787609,橡胶制品,赛轮轮胎
31,SZ002347,2023-12-19,5.81,6.15,34.00000000000007,0.0585197934595526,机械行业,泰尔股份
32,SH603667,2023-11-24,21.52,22.58,105.99999999999989,0.0492565055762081,机械行业,五洲新春
33,SH603090,2023-11-23,24.7,27.25,255.00000000000009,0.1032388663967611,机械行业,宏盛股份
34,SH600791,2023-12-06,4.77,5.0,23.000000000000043,0.0482180293501049,房地产,京能置业
35,SH603007,2023-12-05,4.61,5.45,83.99999999999999,0.1822125813449023,工程建设,ST花王
36,SH600133,2023-10-20,8.12,10.72,260.0000000000001,0.3201970443349756,工程建设,东湖高新
37,SH600980,2023-12-07,16.98,17.41,42.99999999999997,0.025323910482921,小金属,北矿科技
38,SZ000333,2023-12-22,51.91,52.77,86.00000000000065,0.0165671354267001,家电行业,美的集团
39,SZ002543,2023-12-21,8.28,8.94,66.00000000000001,0.0797101449275362,家电行业,万和电气
40,SH603366,2023-12-05,6.1,6.12,2.000000000000046,0.0032786885245902,家电行业,日出东方
41,SZ300729,2023-12-19,15.96,17.64,167.99999999999997,0.1052631578947368,家用轻工,乐歌股份
42,SH600143,2023-12-22,7.49,7.84,34.999999999999964,0.0467289719626167,塑胶制品,金发科技
43,SH600153,2023-12-04,9.61,9.62,0.9999999999999788,0.0010405827263267,国际贸易,建发股份
44,SH603977,2023-11-07,8.45,9.94,149.00000000000003,0.1763313609467456,化工行业,国泰集团
45,SH600975,2023-11-06,9.8,11.6,179.9999999999999,0.1836734693877549,农牧饲渔,新五丰
46,SZ300498,2023-10-31,18.93,19.12,19.000000000000128,0.0100369783412573,农牧饲渔,温氏股份
47,SZ002714,2023-10-30,36.0,39.91,390.99999999999966,0.108611111111111,农牧饲渔,牧原股份
48,SZ002952,2023-11-06,16.07,24.07,800.0,0.4978220286247666,光学光电子,亚世光电
49,SH600552,2023-10-27,11.41,12.54,112.9999999999999,0.0990359333917615,光学光电子,凯盛科技
50,SZ300445,2023-12-14,15.93,17.32,139.00000000000006,0.0872567482736974,仪器仪表,康斯特
51,SH603025,2023-12-19,12.72,13.26,53.99999999999992,0.0424528301886791,专用设备,大豪科技
52,SZ002691,2023-12-19,7.63,7.75,12.00000000000001,0.0157273918741808,专用设备,冀凯股份
53,SH603300,2023-11-07,5.93,6.41,48.00000000000004,0.0809443507588533,专用设备,华铁应急
