,symbol,buy_date,price,adjbase,p&l,p&l_ratio,industry
0,TTD,2021-11-10,89.61,97.09,7.480000000000004,8.347282669344944,互联网服务与基础设施
1,ESTC,2021-11-10,173.84,183.71,9.870000000000005,5.677634606534747,应用软件
2,BIGC,2021-11-09,59.47,62.74,3.270000000000003,5.498570707919965,互联网服务与基础设施
3,TREX,2021-11-08,115.08,132.8,17.720000000000013,15.397984011122709,建筑产品
4,GEL,2021-11-08,11.53,13.17,1.6400000000000006,14.223764093668697,石油与天然气的储存和运输
5,COTY,2021-11-08,10.09,10.81,0.7200000000000006,7.135777998017845,个人用品
6,ATOM,2021-11-05,25.31,29.76,4.450000000000003,17.581983405768483,电子设备和仪器
7,GOOS,2021-11-05,45.39,50.39,5.0,11.015642211940955,服装零售
8,EAF,2021-11-05,11.59,12.5,0.9100000000000001,7.851596203623815,电气部件与设备
9,PSEC,2021-11-05,8.28,8.93,0.6500000000000004,7.850241545893724,资产管理与托管银行
10,LAUR,2021-11-05,11.25,12.01,0.7599999999999998,6.755555555555553,教育服务
11,CYTK,2021-11-05,39.37,41.73,2.3599999999999994,5.994411988823977,生物科技
12,HT,2021-11-03,9.79,11.72,1.9300000000000015,19.71399387129726,多样化房地产投资信托
13,SGMO,2021-11-03,8.85,10.44,1.5899999999999999,17.966101694915256,生物科技
14,RCUS,2021-11-03,33.91,38.9,4.990000000000002,14.715423179003253,生物科技
15,AL,2021-11-03,43.65,49.65,6.0,13.745704467353953,贸易公司与经销商
16,GT,2021-11-03,20.68,23.44,2.7600000000000016,13.346228239845269,轮胎与橡胶
17,CAN,2021-11-03,8.96,10.05,1.0899999999999999,12.16517857142857,电脑硬件、储存设备及电脑周边
18,SBH,2021-11-03,16.09,18.02,1.9299999999999997,11.995027967681787,专卖店
19,INFN,2021-11-03,8.0,8.9,0.9000000000000004,11.250000000000004,通信设备
20,AMAT,2021-11-03,141.44,156.29,14.849999999999994,10.499151583710404,半导体设备
21,HDSN,2021-11-02,3.72,4.22,0.49999999999999956,13.440860215053752,环境与设施服务
22,NKLA,2021-11-02,12.66,14.32,1.6600000000000001,13.11216429699842,汽车制造商
23,FSR,2021-11-02,17.85,19.92,2.0700000000000003,11.596638655462186,机动车零配件与设备
24,FCEL,2021-11-01,8.28,10.83,2.5500000000000007,30.79710144927537,电气部件与设备
25,QS,2021-11-01,28.99,36.74,7.7500000000000036,26.7333563297689,投资银行业与经纪业
26,HMHC,2021-11-01,14.22,17.35,3.130000000000001,22.011251758087205,教育服务
27,AVDL,2021-11-01,9.65,11.18,1.5299999999999994,15.85492227979274,制药
28,ANF,2021-11-01,40.06,46.09,6.030000000000001,15.05242136794808,服装零售
29,F,2021-11-01,17.5,20.12,2.620000000000001,14.971428571428579,汽车制造商
30,GEO,2021-11-01,8.19,9.35,1.1600000000000001,14.163614163614167,特种房地产投资信托
31,GME,2021-11-01,182.53,206.6,24.069999999999993,13.186873390675501,电脑与电子产品零售
32,TGI,2021-11-01,20.39,22.95,2.5599999999999987,12.555174104953403,航天航空与国防
33,CKPT,2021-10-29,3.38,4.46,1.08,31.952662721893493,制药
34,IFRX,2021-10-29,3.73,4.92,1.19,31.903485254691688,制药
35,ACIU,2021-10-29,6.65,7.56,0.9099999999999993,13.684210526315779,生物科技
36,CALX,2021-10-28,58.76,76.25,17.490000000000002,29.765146358066715,通信设备
37,CARA,2021-10-28,15.72,18.14,2.42,15.39440203562341,生物科技
38,NPTN,2021-10-27,9.6,15.64,6.040000000000001,62.91666666666668,半导体产品
39,AGC,2021-10-27,12.61,15.6,2.99,23.711340206185568,投资银行业与经纪业
40,BE,2021-10-27,28.96,34.29,5.329999999999998,18.404696132596676,电气部件与设备
41,SYNA,2021-10-26,180.0,254.38,74.38,41.32222222222222,半导体产品
42,ORMP,2021-10-26,23.05,29.22,6.169999999999998,26.767895878524936,制药
43,BLU,2021-10-26,6.53,7.25,0.7199999999999998,11.026033690658494,制药
44,KLAC,2021-10-25,347.71,417.11,69.40000000000003,19.959161370107285,半导体设备
45,CWEN,2021-10-25,32.11,36.75,4.640000000000001,14.45032700093429,电力公用事业
46,BBY,2021-10-25,118.68,132.94,14.259999999999991,12.015503875968983,电脑与电子产品零售
47,ACI,2021-10-25,30.47,33.76,3.289999999999999,10.797505743354115,食品分销商
48,CLS,2021-10-22,9.32,11.5,2.1799999999999997,23.39055793991416,电子制造服务
49,CCO,2021-10-22,2.88,3.49,0.6100000000000003,21.180555555555568,广告
50,ATEN,2021-10-22,13.68,16.54,2.8599999999999994,20.90643274853801,系统软件
51,ASO,2021-10-22,41.98,47.37,5.390000000000001,12.839447355883754,互联网与直销零售
52,FUBO,2021-10-22,29.4,33.13,3.730000000000004,12.687074829931987,应用软件
53,ARAY,2021-10-21,3.99,5.74,1.75,43.859649122807014,医疗保健设备
54,AQST,2021-10-21,4.44,6.23,1.79,40.31531531531531,制药
55,LSCC,2021-10-21,67.57,81.14,13.570000000000007,20.08287701642742,半导体产品
56,NVT,2021-10-21,32.42,36.68,4.259999999999998,13.140037014188765,电气部件与设备
57,SEAH,2021-10-21,10.1,11.32,1.2200000000000006,12.079207920792085,投资银行业与经纪业
58,PVH,2021-10-21,111.58,122.8,11.219999999999999,10.05556551353289,服装、服饰与奢侈品
59,CDMO,2021-10-20,26.55,33.35,6.800000000000001,25.612052730696803,生物科技
60,CLSK,2021-10-20,17.0,21.33,4.329999999999998,25.47058823529411,环境与设施服务
61,CTHR,2021-10-20,3.0,3.45,0.4500000000000002,15.000000000000005,服装、服饰与奢侈品
62,MDB,2021-10-20,510.97,576.77,65.79999999999995,12.877468344521196,数据处理与外包服务
63,LMFA,2021-10-20,5.93,6.65,0.7200000000000006,12.141652613828004,其它综合性金融服务
64,REXR,2021-10-20,62.6,69.18,6.580000000000005,10.511182108626206,工业房地产投资信托
65,OLN,2021-10-19,51.26,61.81,10.550000000000004,20.58134998049162,多种化学制品
