,symbol,event_time,open_alias,close,high,low,volume,turnover
0,TSLA,2021-10-25 09:35:00,950.5300,960.5900,961.5100,945.7000,2572909,2453020000
1,TSLA,2021-10-25 09:40:00,960.7095,956.2500,970.8400,956.0950,1917497,1845640000
2,TSLA,2021-10-25 09:45:00,956.0900,957.4450,959.1400,946.0300,1656905,1577210000
3,TSLA,2021-10-25 09:50:00,957.9000,949.3700,959.4400,948.8100,914400,872181000
4,TSLA,2021-10-25 09:55:00,949.2900,949.4893,951.6499,944.8000,1040127,986197000
5,TSLA,2021-10-25 10:00:00,949.3900,953.0001,954.2300,948.2901,738964,702983000
6,TSLA,2021-10-25 10:05:00,953.0000,948.0255,953.0000,944.2000,791017,749729000
7,TSLA,2021-10-25 10:10:00,948.2300,950.9301,952.2500,947.6901,585613,556481000
8,TSLA,2021-10-25 10:15:00,951.1300,958.9150,959.3200,950.2101,947305,905650000
9,TSLA,2021-10-25 10:20:00,958.9999,961.0000,962.9099,958.4400,834283,801376000
10,TSLA,2021-10-25 10:25:00,960.9600,972.5400,972.9600,960.5100,1303417,1261340000
11,TSLA,2021-10-25 10:30:00,972.5600,975.6600,978.7500,970.0000,1345759,1311670000
12,TSLA,2021-10-25 10:35:00,975.6100,975.0698,979.8000,972.3600,1086532,1059740000
13,TSLA,2021-10-25 10:40:00,975.0300,972.8800,977.4800,972.0800,677585,660075000
14,TSLA,2021-10-25 10:45:00,972.8700,969.2600,973.0200,967.0100,759178,736877000
15,TSLA,2021-10-25 10:50:00,969.1550,974.0192,975.3499,968.8100,572280,556439000
16,TSLA,2021-10-25 10:55:00,974.1600,970.1400,974.1700,969.7000,340158,330696000
17,TSLA,2021-10-25 11:00:00,970.0850,972.7500,974.0000,968.6800,400365,388887000
18,TSLA,2021-10-25 11:05:00,972.7500,970.3000,973.4200,968.1500,376399,365405000
19,TSLA,2021-10-25 11:10:00,970.2406,968.0000,971.3699,967.6000,341835,331409000
20,TSLA,2021-10-25 11:15:00,968.0650,968.7425,971.5800,967.2600,443595,429977000
21,TSLA,2021-10-25 11:20:00,968.7600,965.2400,969.2199,964.0700,486470,470096000
22,TSLA,2021-10-25 11:25:00,965.2400,962.3137,965.5399,962.0800,523078,504211000
23,TSLA,2021-10-25 11:30:00,962.4299,966.0000,966.0900,961.5500,475450,458164000
24,TSLA,2021-10-25 11:35:00,966.0500,961.5000,966.4400,960.2301,418913,403421000
25,TSLA,2021-10-25 11:40:00,961.4050,969.7601,970.9000,961.3100,670603,648546000
26,TSLA,2021-10-25 11:45:00,969.8900,971.8399,972.3100,969.0300,485649,471467000
27,TSLA,2021-10-25 11:50:00,971.4701,972.8350,973.5899,971.1100,367738,357583000
28,TSLA,2021-10-25 11:55:00,972.9300,972.5100,973.7400,971.8601,216652,210735000
