,symbol,open_alias,close,high,low,change,chg,volume,mktcap
0,aapl,142.2700,142.8100,144.8100,141.8100,-0.06,-0.0900,64452203,2360673006460
1,msft,292.9200,294.2300,297.9700,292.7450,-0.21,-0.6200,19298599,2211106451899
2,googl,2785.8400,2778.2800,2814.2400,2777.1800,-0.62,-17.4300,897630,1852431814685
3,goog,2796.0000,2776.9500,2815.2725,2776.1300,-0.86,-24.1700,828829,1851545030662
4,amzn,3275.0000,3246.3000,3292.5899,3238.1000,-1.29,-42.3200,2034011,1644057860076
5,fb,327.6250,325.4500,330.4600,325.3100,-1.39,-4.6000,14707849,917588212850
6,tsla,787.6500,791.9400,801.2400,785.5000,0.82,6.4500,14200221,793339621696
7,tsm,110.0800,110.2600,111.7100,109.9000,0.20,0.2200,5318412,571816749793
8,nvda,205.7500,206.9500,210.6300,205.1100,-0.65,-1.3600,16338754,517375000000
9,jpm,170.8000,166.6400,171.2900,166.4600,-2.10,-3.5800,12154737,497946208357
10,v,230.0100,225.1100,230.3150,224.8700,-2.24,-5.1600,5620197,478767790177
11,baba,169.6100,163.9500,169.8000,163.9500,1.50,2.4300,42193238,444454293081
12,vxus,63.7500,63.4000,63.9366,63.3900,-0.30,-0.1900,2464428,429874085263
13,jnj,160.8600,160.2500,161.8550,159.9400,-0.42,-0.6800,4101398,421855255243
14,wmt,139.5200,139.5300,140.7800,139.4400,-0.09,-0.1300,4349071,389079100266
15,unh,408.0000,404.9900,411.2150,404.2100,-0.85,-3.4700,2162405,381872104056
16,bac,44.6000,43.7800,44.8050,43.7500,-1.26,-0.5600,36283507,368404491910
17,hd,335.6000,336.9700,340.8550,334.6000,0.79,2.6300,2588893,355624219791
18,pg,142.3700,142.3200,142.7700,141.7700,0.42,0.5900,5994329,345597886012
19,ma,353.9500,347.1500,354.8800,346.9000,-2.20,-7.8100,2769750,342558955830
20,dis,176.0200,173.5200,176.5200,173.4800,-1.82,-3.2200,8045826,315307806937
21,pypl,257.9300,255.0500,260.6600,254.6900,-1.93,-5.0100,5031308,299691950112
22,asml,722.7800,721.8900,735.8300,721.3600,-1.15,-8.3800,702272,298378209690
23,nflx,633.1950,627.0400,639.4200,626.7800,-0.89,-5.6200,2862044,277525326238
