,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,date
0,AAPL,142.11,143.57,143.64,141.51,140.91,2.67,1.89,39453487,1.51%,2329265751595,NASDAQ,20211014
1,MSFT,299.21,301.60,302.00,297.83,296.31,5.29,1.78,13904526,1.41%,2226737407348,NASDAQ,20211014
2,GOOG,2799.04,2829.01,2829.10,2786.78,2758.00,71.01,2.57,585924,1.53%,1838910025232,NASDAQ,20211014
3,GOOGL,2789.48,2819.36,2819.36,2776.50,2751.64,67.72,2.46,826328,1.56%,1834669458458,NASDAQ,20211014
4,AMZN,3302.45,3304.46,3312.60,3290.78,3284.28,20.18,0.61,1214876,0.66%,1663292485863,NASDAQ,20211014
5,FB,328.36,328.19,330.52,327.10,324.54,3.65,1.13,8179722,1.05%,915022542446,NASDAQ,20211014
6,TSLA,815.49,819.00,820.25,813.35,811.08,7.92,0.98,8376486,0.85%,812513465570,NASDAQ,20211014
7,BRK.A,420866.00,424545.81,427379.00,420750.00,418402.00,6143.83,1.47,895,1.58%,630551897296,NYSE,20211014
8,BRK.B,280.81,282.04,282.15,279.30,277.90,4.14,1.49,1464778,1.03%,628212972793,NYSE,20211014
9,TSM,114.14,112.27,114.74,111.16,109.98,2.29,2.08,12297571,3.26%,570364665897,NYSE,20211014
10,NVDA,212.88,216.26,216.67,211.22,209.39,6.88,3.28,14622817,2.60%,523474998474,NASDAQ,20211014
11,JPM,161.75,163.45,163.48,160.06,161.00,2.45,1.52,8785174,2.12%,481093012155,NYSE,20211014
12,V,224.12,224.41,225.65,223.06,222.46,1.96,0.88,2921214,1.16%,473131739226,NYSE,20211014
13,BABA,168.26,166.58,168.99,164.46,167.40,-0.82,-0.49,10009144,2.71%,455023189525,NYSE,20211014
14,VXUS,64.60,64.56,64.64,64.45,64.08,0.48,0.75,1476585,0.29%,434484734555,NASDAQ,20211014
15,JNJ,159.71,160.72,161.14,159.60,159.20,1.51,0.95,2139932,0.97%,419091141013,NYSE,20211014
16,WMT,138.50,139.97,140.05,138.50,138.37,1.60,1.16,2765815,1.12%,385844429323,NYSE,20211014
17,UNH,425.66,420.29,433.50,417.80,403.55,16.74,4.15,3894932,3.89%,380514291539,NYSE,20211014
18,BAC,44.37,44.69,44.77,43.48,43.14,1.54,3.58,48909588,2.99%,363018948290,NYSE,20211014
19,HD,340.53,342.88,344.37,340.10,338.28,4.60,1.36,1404795,1.26%,357006738733,NYSE,20211014
20,PG,142.83,144.22,144.28,142.81,142.44,1.78,1.25,3200601,1.03%,345889289963,NYSE,20211014
21,MA,343.84,343.14,345.81,340.83,342.35,0.79,0.23,2316426,1.45%,337822441651,NYSE,20211014
22,DIS,174.07,174.87,176.02,174.00,172.96,1.91,1.10,2880799,1.17%,314290228244,NYSE,20211014
23,ASML,769.60,771.56,777.25,765.68,744.42,27.14,3.65,891827,1.55%,307690366372,NASDAQ,20211014
24,PYPL,261.50,266.36,267.41,260.20,256.36,10.00,3.90,5245428,2.81%,301231224762,NASDAQ,20211014
25,ADBE,600.00,606.89,609.44,596.97,591.12,15.77,2.67,1403436,2.11%,281254893677,NASDAQ,20211014
26,NFLX,632.23,634.88,636.27,626.79,629.76,5.12,0.81,1686109,1.51%,278729190749,NASDAQ,20211014
27,CRM,286.00,289.54,289.80,284.66,284.41,5.13,1.80,2805434,1.81%,278437393585,NYSE,20211014
28,ORCL,96.80,95.42,97.35,94.37,96.40,-0.98,-1.02,4468603,3.09%,263527338234,NYSE,20211014
29,XOM,61.71,62.13,62.19,61.17,61.07,1.06,1.74,9918282,1.67%,258543686049,NYSE,20211014
30,NKE,158.18,157.03,158.46,156.25,156.30,0.73,0.47,3196461,1.41%,247394413997,NYSE,20211014
31,TM,174.60,175.12,175.41,174.48,175.77,-0.65,-0.37,84340,0.53%,245528625935,NYSE,20211014
32,CMCSA,52.77,54.18,54.18,52.77,52.69,1.49,2.83,9201682,2.68%,241833248714,NASDAQ,20211014
33,KO,54.39,54.74,54.75,54.31,54.24,0.50,0.92,5348840,0.81%,234133405696,NYSE,20211014
34,PFE,41.56,41.77,41.96,41.55,41.42,0.35,0.86,7623110,0.98%,232229021729,NYSE,20211014
35,CSCO,55.09,55.62,55.73,54.98,54.62,1.00,1.84,6147715,1.37%,230372731500,NASDAQ,20211014
36,NVO,100.97,100.55,101.14,100.41,100.60,-0.05,-0.05,421376,0.73%,230279318024,NYSE,20211014
37,LLY,237.01,235.60,238.44,234.11,236.44,-0.83,-0.35,778978,1.83%,226173988676,NYSE,20211014
38,TMO,577.64,577.82,584.56,575.26,573.56,4.26,0.74,378959,1.62%,225649343324,NYSE,20211014
39,PEP,158.62,159.40,159.47,158.61,157.99,1.41,0.89,1597151,0.54%,218445346060,NYSE,20211014
40,VZ,51.27,51.90,51.98,51.16,51.35,0.55,1.07,16340251,1.61%,212594950693,NYSE,20211014
41,INTC,52.90,53.78,53.86,52.73,52.26,1.52,2.91,12828422,2.16%,212018813190,NASDAQ,20211014
42,DHR,298.56,300.25,302.96,298.56,295.86,4.39,1.49,1240772,1.49%,211214314843,NYSE,20211014
43,ACN,333.14,337.79,338.17,332.02,330.18,7.61,2.30,782169,1.86%,209003935364,NYSE,20211014
44,CVX,108.88,108.94,109.16,108.11,107.79,1.16,1.07,4282671,0.97%,208456370214,NYSE,20211014
45,ABT,116.66,117.04,117.68,116.64,117.00,0.04,0.03,1690644,0.89%,207419629950,NYSE,20211014
46,MRK,78.97,78.81,79.67,78.64,78.95,-0.14,-0.18,6185658,1.30%,199852024524,NYSE,20211014
47,AVGO,491.86,497.16,499.15,490.81,485.01,12.15,2.51,658529,1.72%,199638019863,NASDAQ,20211014
48,COST,447.11,450.99,451.70,446.50,445.30,5.69,1.28,645864,1.17%,196744137645,NASDAQ,20211014
49,SE,354.12,347.31,354.65,347.03,349.35,-2.04,-0.58,1701225,2.18%,192895268776,NYSE,20211014
50,ABBV,107.96,108.78,108.93,107.80,108.53,0.25,0.23,3602512,1.04%,191791558331,NYSE,20211014
51,WFC,46.67,45.41,46.89,44.83,46.05,-0.64,-1.39,31896054,4.47%,189100200991,NYSE,20211014
52,AZN,60.39,60.17,60.58,60.12,60.45,-0.28,-0.46,2849839,0.75%,187290532372,NYSE,20211014
53,RDS.B,48.72,48.36,48.77,48.13,47.61,0.75,1.58,2373236,1.33%,184695851345,NYSE,20211014
54,RDS.A,48.41,48.20,48.45,47.83,47.47,0.72,1.53,3990105,1.31%,184662102681,NYSE,20211014
55,NVS,82.74,82.56,82.89,82.47,82.43,0.12,0.15,651615,0.52%,184374399667,NYSE,20211014
56,MCD,242.88,244.75,245.42,242.04,242.65,2.10,0.87,1304251,1.39%,181210742461,NYSE,20211014
57,T,25.37,25.68,25.81,25.35,25.30,0.39,1.52,35638589,1.82%,180641994553,NYSE,20211014
58,MS,101.22,100.22,101.58,97.81,98.57,1.65,1.67,10031545,3.82%,179846984113,NYSE,20211014
59,SHOP,1413.15,1411.95,1427.00,1405.91,1398.97,12.98,0.93,417992,1.51%,174575676159,NYSE,20211014
60,TXN,189.37,192.02,192.21,188.93,187.10,4.92,2.63,1318508,1.75%,172732591583,NASDAQ,20211014
61,SAP,143.84,144.83,145.20,143.54,141.65,3.18,2.25,384884,1.17%,167087406311,NYSE,20211014
62,MDT,123.45,124.47,125.13,123.27,122.57,1.90,1.55,1758770,1.52%,164955928593,NYSE,20211014
63,TBB,26.34,26.29,26.35,26.18,26.54,-0.25,-0.94,38124,0.63%,162949780993,NYSE,20211014
64,VUG,297.05,299.19,299.53,296.72,294.31,4.88,1.66,389914,0.95%,161897758238,NYSE,20211014
65,UPS,187.64,191.60,191.78,187.26,184.06,7.54,4.10,2237965,2.46%,160324035329,NYSE,20211014
66,VO,244.82,246.64,246.90,244.81,242.80,3.84,1.58,310938,0.86%,159458445540,NYSE,20211014
67,NEE,80.36,81.67,81.69,80.21,80.19,1.49,1.85,3607598,1.85%,157313298780,NYSE,20211014
68,LIN,304.35,308.04,308.54,303.64,300.99,7.05,2.34,608034,1.63%,155434637863,NYSE,20211014
69,PM,98.32,98.50,99.36,97.79,97.47,1.03,1.06,1700575,1.61%,151910991905,NYSE,20211014
70,HON,217.16,218.22,218.65,216.53,215.58,2.64,1.23,593077,0.98%,148836275244,NYSE,20211014
71,RY,104.26,104.86,104.90,104.00,103.32,1.54,1.49,419246,0.87%,147202063973,NYSE,20211014
72,LOW,214.34,215.89,216.23,213.44,212.12,3.77,1.78,1653772,1.32%,146878818822,NYSE,20211014
73,INTU,543.35,543.86,549.92,542.00,534.94,8.92,1.67,528313,1.48%,146087797166,NASDAQ,20211014
74,TMUS,118.09,119.51,119.54,117.61,116.46,3.05,2.62,3341253,1.66%,145338156252,NYSE,20211014
75,SCHW,77.22,78.24,78.30,76.64,76.27,1.97,2.58,2253812,2.18%,143997950134,NYSE,20211014
76,C,71.07,70.62,71.27,69.72,70.26,0.36,0.51,15777814,2.20%,142401931358,NYSE,20211014
77,QCOM,126.16,128.91,129.01,125.99,125.04,3.88,3.10,5853877,2.42%,141045121033,NASDAQ,20211014
78,UNP,217.78,220.96,221.07,217.51,215.85,5.11,2.37,1404007,1.65%,140760739068,NASDAQ,20211014
79,BHP,56.86,57.60,57.70,56.77,55.55,2.05,3.69,2598894,1.67%,140612495746,NYSE,20211014
80,HDB,75.90,75.47,76.02,75.28,74.16,1.31,1.77,1451011,1.00%,136885817728,NYSE,20211014
81,UL,53.13,53.09,53.17,52.93,52.97,0.12,0.24,982028,0.45%,136777559123,NYSE,20211014
82,SONY,110.64,111.54,111.70,110.64,109.50,2.04,1.86,245261,0.97%,135785786966,NYSE,20211014
83,RTX,90.32,89.52,90.47,89.34,89.68,-0.16,-0.18,1692098,1.25%,135226507661,NYSE,20211014
84,BBL,54.45,55.07,55.24,54.38,53.21,1.86,3.50,1731153,1.62%,134683106153,NYSE,20211014
85,AXP,171.00,170.90,172.38,169.81,168.72,2.18,1.29,1466565,1.52%,134036749552,NYSE,20211014
86,TTE,50.91,50.94,50.95,50.66,50.36,0.58,1.15,998824,0.58%,132963276851,NYSE,20211014
87,AMD,110.50,112.00,112.22,109.63,109.16,2.84,2.60,36666702,2.37%,132407294625,NYSE,20211014
88,BLK,882.00,887.46,887.75,867.25,867.81,19.65,2.26,377098,2.36%,132077031620,NYSE,20211014
89,SNE,0.00,106.01,0.00,0.00,106.01,0.00,0.00,0,1.47%,131069631592,NYSE,20211014
90,SBUX,111.08,112.39,112.61,111.01,110.76,1.63,1.47,2136193,1.44%,130597118519,NASDAQ,20211014
91,GS,392.00,388.06,393.66,382.20,386.31,1.75,0.45,1850396,2.97%,130224129766,NYSE,20211014
92,EL,317.71,320.29,321.95,317.56,315.01,5.28,1.68,496509,1.39%,113767279422,NYSE,20211014
93,CHL,0.00,27.51,0.00,0.00,27.51,0.00,0.00,0,6.67%,112656107826,NYSE,20211014
94,GE,103.14,102.90,103.65,102.50,102.36,0.54,0.53,3628862,1.12%,112356773681,NYSE,20211014
95,COWB,0.00,47.92,0.00,0.00,47.92,0.00,0.00,0,0.00%,112228641845,AMEX,20211014
96,JJTB,0.00,47.88,0.00,0.00,47.88,0.00,0.00,0,0.00%,112134968630,AMEX,20211014
97,RIO,70.59,71.03,71.34,70.53,69.05,1.99,2.87,2312929,1.17%,111798851931,NYSE,20211014
98,BALB,0.00,47.71,0.00,0.00,47.71,0.00,0.00,0,0.67%,111736823963,AMEX,20211014
99,SQ,248.12,248.44,251.34,247.10,242.73,5.71,2.35,4013878,1.75%,111723092013,NYSE,20211014
100,JJGB,0.00,47.46,0.00,0.00,47.46,0.00,0.00,0,0.11%,111151323931,AMEX,20211014
101,BUD,56.52,56.45,56.95,56.30,55.62,0.83,1.49,2836428,1.17%,110293899179,NYSE,20211014
102,CVS,84.34,85.29,85.32,82.92,83.16,2.13,2.56,3716823,2.89%,109735840543,NYSE,20211014
103,ABNB,175.24,172.11,176.75,170.75,173.58,-1.47,-0.85,2559330,3.46%,109119819069,NASDAQ,20211014
104,VXF,188.94,189.82,190.13,188.79,186.94,2.88,1.54,158381,0.72%,107509929331,NYSE,20211014
105,JJAB,0.00,45.88,0.00,0.00,45.88,0.00,0.00,0,0.00%,107450968374,AMEX,20211014
106,BJJN,0.00,45.81,0.00,0.00,45.81,0.00,0.00,0,0.00%,107287029080,AMEX,20211014
107,JJUB,0.00,45.46,0.00,0.00,45.46,0.00,0.00,0,0.00%,106467323675,AMEX,20211014
108,SPGI,435.44,439.80,445.99,433.89,430.43,9.37,2.18,748210,2.81%,103733628235,NYSE,20211014
109,CAT,193.55,194.34,194.79,192.61,188.94,5.40,2.86,2561363,1.15%,103439260312,NYSE,20211014
110,JJSB,0.00,43.85,0.00,0.00,43.85,0.00,0.00,0,0.00%,102696702039,AMEX,20211014
111,MMM,178.00,179.34,179.58,177.95,177.17,2.17,1.22,1103545,0.92%,102517338224,NYSE,20211014
112,DE,321.53,330.45,332.88,320.50,329.00,1.45,0.44,1505822,3.76%,102010226262,NYSE,20211014
113,JJPB,0.00,43.54,0.00,0.00,43.54,0.00,0.00,0,0.25%,101970687717,AMEX,20211014
114,SGGB,0.00,43.50,0.00,0.00,43.50,0.00,0.00,0,2.10%,101877005568,AMEX,20211014
115,BKNG,2482.60,2512.68,2515.67,2474.50,2462.53,50.15,2.04,146862,1.67%,101111091461,NASDAQ,20211014
116,JJMB,0.00,42.81,0.00,0.00,42.81,0.00,0.00,0,0.00%,100261028696,AMEX,20211014
117,LMT,362.02,362.52,364.16,361.70,361.76,0.76,0.21,486284,0.68%,100177312488,NYSE,20211014
118,JJCB,0.00,42.54,0.00,0.00,42.54,0.00,0.00,0,0.00%,99638291662,AMEX,20211014
119,PLD,134.10,135.46,135.88,133.81,133.90,1.56,1.17,811406,1.55%,98985704388,NYSE,20211014
120,SNOW,330.22,333.51,338.36,329.89,327.85,5.66,1.73,1816549,2.58%,98650066837,NYSE,20211014
