,symbol,open,close,high,low,volume,turnover,chg,change,amplitude,preclose,date
0,ABVC,8.25,6.03,11.69,5.71,104148818,879884192.0,137.4,3.49,235.43,2.54,20211102
1,BTTX,13.86,17.14,29.4,11.86,99312558,2094706752.0,84.3,7.84,188.6,9.3,20211102
2,ARTLW,0.3,0.35,0.5,0.3,441280,178248.0,75.0,0.15,100.0,0.2,20211102
3,NNAVW,1.74,1.85,1.99,1.48,707696,1314803.0,54.17,0.65,42.5,1.2,20211102
4,GRIL,1.22,1.67,2.2,1.15,82519179,149067629.0,50.45,0.56,94.59,1.11,20211102
5,RIVr,0.02,0.03,0.03,0.02,334067,7536.0,50.0,0.01,50.0,0.02,20211102
6,ANIP,42.46,55.89,60.23,42.11,4244233,233846639.0,49.52,18.51,48.48,37.38,20211102
7,VUZI,10.83,14.14,14.39,10.82,21388373,277856656.0,32.27,3.45,33.4,10.69,20211102
8,FGF,3.9,5.08,5.2,3.81,2548436,12128976.0,31.61,1.22,36.01,3.86,20211102
9,IO,2.13,2.57,2.67,2.11,20433319,50514895.0,30.46,0.6,28.43,1.97,20211102
10,HUMAW,2.91,3.5,3.64,2.72,243270,784134.0,29.15,0.79,33.95,2.71,20211102
11,POND_WS,0.84,0.9,1.03,0.84,6417,5965.0,28.57,0.2,27.14,0.7,20211102
12,SOFIW,9.0,11.1,11.3,8.98,719838,7557292.0,27.88,2.42,26.73,8.68,20211102
13,RGC,13.7,17.02,17.4,13.63,170517,2708572.0,26.73,3.59,28.07,13.43,20211102
14,NOVVW,0.35,0.38,0.39,0.32,35325,12545.0,26.67,0.08,23.33,0.3,20211102
15,CIFRW,2.25,2.9,2.9,2.23,192487,515476.0,26.64,0.61,29.26,2.29,20211102
16,CMTL,24.61,27.2,27.7,23.27,1393868,36468948.0,26.1,5.63,20.54,21.57,20211102
17,HYZNW,1.32,1.58,1.65,1.29,188097,283915.0,25.4,0.32,28.57,1.26,20211102
18,MTAL_WS,0.9,0.89,0.9,0.86,8302,7424.0,25.35,0.18,5.63,0.71,20211102
19,CIFR,7.9,9.85,9.98,7.71,7619167,70389722.0,25.32,1.99,28.88,7.86,20211102
20,GIGGW,1.0,1.25,1.25,1.0,585898,660840.0,25.0,0.25,25.0,1.0,20211102
21,PTIXW,0.37,0.46,0.46,0.35,20219,7929.0,24.32,0.09,29.73,0.37,20211102
22,KRBP,2.26,2.77,2.81,2.22,707585,1817242.0,24.22,0.54,26.46,2.23,20211102
23,DM,7.04,8.66,8.8,7.01,26103017,216550791.0,23.89,1.67,25.61,6.99,20211102
24,CHPMW,0.65,0.68,0.72,0.62,91112,58909.0,23.64,0.13,18.18,0.55,20211102
25,KNSA,10.99,12.73,13.55,10.59,1199830,14791033.0,22.52,2.34,28.49,10.39,20211102
26,NGCAW,1.9,2.2,2.64,1.9,266723,607734.0,22.22,0.4,41.11,1.8,20211102
27,GSMGW,0.09,0.11,0.12,0.09,575450,60335.0,22.22,0.02,33.33,0.09,20211102
28,ARMP,3.2,3.91,4.48,3.2,675496,2717776.0,22.19,0.71,40.0,3.2,20211102
29,IMH,1.31,1.6,1.63,1.3,384643,570218.0,22.14,0.29,25.19,1.31,20211102
30,LDI,7.2,8.0,8.89,7.02,7330885,60257146.0,21.95,1.44,28.51,6.56,20211102
31,PPHPR,0.32,0.39,0.39,0.32,35200,12047.0,21.88,0.07,21.88,0.32,20211102
32,LTBR,9.8,11.65,11.65,9.65,438243,4729901.0,21.73,2.08,20.9,9.57,20211102
33,SLGG,3.16,3.82,4.38,3.12,10728656,42006622.0,21.66,0.68,40.13,3.14,20211102
34,SI,159.01,190.34,194.0,157.0,3155614,570251056.0,21.53,33.72,23.62,156.62,20211102
35,BCEL,5.65,6.29,6.51,5.56,1913956,11671671.0,21.43,1.11,18.34,5.18,20211102
36,VIRI,4.74,5.66,5.68,4.74,154825,823912.0,21.2,0.99,20.13,4.67,20211102
37,HYZN,5.36,6.3,6.5,5.25,7274972,43805763.0,20.92,1.09,23.99,5.21,20211102
38,ARTL,1.17,0.87,1.32,0.87,254025380,278338256.0,20.83,0.15,62.5,0.72,20211102
39,DNMR,15.0,17.77,17.8,15.0,4288996,71989255.0,20.39,3.01,18.97,14.76,20211102
40,BSGM,2.71,3.25,3.65,2.71,1068734,3477493.0,20.37,0.55,34.81,2.7,20211102
41,SCX,10.49,12.13,12.3,10.32,124518,1420798.0,20.1,2.03,19.6,10.1,20211102
42,MYPSW,0.78,0.9,0.94,0.78,17489,15417.0,20.0,0.15,21.33,0.75,20211102
43,CLNNW,0.63,0.66,0.78,0.57,28656,19392.0,20.0,0.11,38.18,0.55,20211102
44,BNNRW,0.5,0.6,0.8,0.5,22957,12822.0,20.0,0.1,60.0,0.5,20211102
45,FCEL,8.28,9.53,9.65,8.25,81021496,735703920.0,19.27,1.54,17.52,7.99,20211102
46,VLTA_WS,2.46,2.92,3.0,2.45,304238,813221.0,19.18,0.47,22.45,2.45,20211102
47,MTTRW,11.41,12.85,13.0,10.7,500668,6035439.0,19.09,2.06,21.32,10.79,20211102
48,NXTD,3.35,4.4,5.55,3.31,34116034,157618079.0,18.92,0.7,60.54,3.7,20211102
