,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,tag,macdp,macdn
4432,ANY,7.64,8.13,8.43,7.1,7.03,1.1,15.65,74173377.0,18.92%,478119388.0,NASDAQ,策略1,,
5531,EAR,6.56,7.29,7.48,6.55,6.51,0.78,11.98,3935672.0,14.27%,286226445.0,NASDAQ,策略1,,
6118,SESN,0.86,1.05,1.06,0.85,0.83,0.22,26.9,25701957.0,24.78%,205803159.0,NASDAQ,策略1,,
6381,ORPH,4.02,4.91,5.49,3.87,3.98,0.93,23.37,19429898.0,40.70%,171615596.0,NASDAQ,策略1,,
6571,WTRH,1.11,1.27,1.36,1.1,0.8,0.47,58.45,169274284.0,32.44%,152219362.0,NASDAQ,策略1,,
6987,CRXT,4.4,5.29,6.67,4.32,4.1,1.19,29.02,24008592.0,57.44%,114929571.0,NASDAQ,策略1,,
7151,SOTK,4.79,6.49,6.74,4.76,4.5,1.99,44.22,2200943.0,43.89%,100638473.0,NASDAQ,策略1,,
7576,PALT,8.2,8.72,9.88,8.2,7.88,0.84,10.66,15040289.0,21.32%,71850709.0,NASDAQ,策略1,,
7587,HX,4.51,4.38,4.72,3.94,3.82,0.56,14.66,3588801.0,20.42%,71321837.0,NASDAQ,策略1,,
7894,GROM,4.17,4.3,5.08,4.04,4.06,0.24,5.91,17171700.0,25.62%,52554602.0,NASDAQ,策略1,,
7900,NRBO,2.0,1.96,2.2,1.94,1.84,0.12,6.52,14745992.0,14.13%,52122644.0,NASDAQ,策略1,,
7975,NEW,0.58,0.56,0.65,0.53,0.45,0.1,23.02,28875477.0,26.01%,48804576.0,NYSE,策略1,,
8086,OLB,5.03,5.0,5.06,4.56,4.78,0.22,4.6,1169753.0,10.46%,43462410.0,NASDAQ,策略1,,
8097,KTRA,1.02,1.0,1.08,0.93,0.96,0.04,4.58,9101384.0,15.69%,43166355.0,NASDAQ,策略1,,
8101,ADTX,1.82,2.04,2.11,1.81,1.81,0.23,12.71,7190472.0,16.57%,43025507.0,NASDAQ,策略1,,
8335,NSPR,4.4,4.12,4.65,4.02,3.92,0.2,5.1,3628010.0,16.07%,32609453.0,AMEX,策略1,,
8384,ICD,3.51,4.27,4.47,3.37,3.59,0.68,18.94,2992429.0,30.64%,30931624.0,NYSE,策略1,,
8573,WORX,2.01,2.24,2.28,2.01,2.03,0.21,10.34,1703174.0,13.30%,24270232.0,NASDAQ,策略1,,
9112,URNM,91.48,95.13,97.98,87.78,88.1,7.03,7.98,1105734.0,11.58%,9705353.0,AMEX,策略1,,
1012,GXO,76.32,79.21,83.08,75.37,75.86,3.35,4.42,1204386.0,10.16%,9080176778.0,NYSE,策略2,,
1066,RLX,5.08,5.33,5.46,4.94,4.64,0.69,14.87,14556845.0,11.21%,8372310362.0,NYSE,策略2,,
1279,TASK,57.47,64.95,65.54,57.2,56.45,8.5,15.06,1459154.0,14.77%,6318996504.0,NASDAQ,策略2,,
1407,FLYW,47.14,52.63,52.78,46.08,47.04,5.59,11.88,304292.0,14.24%,5516554137.0,NASDAQ,策略2,,
1472,TUYA,8.61,9.0,9.66,8.51,8.48,0.52,6.13,6778346.0,13.56%,5037840729.0,NYSE,策略2,,
1716,EDU,2.25,2.34,2.43,2.21,2.16,0.18,8.33,72437340.0,10.18%,3970900772.0,NYSE,策略2,,
