,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,date,tag,ma20,dif,dea,macd,macdp,macdn
4532,KORE,7.8,7.3,9.5,6.63,6.32,0.98,15.51,10583110.0,45.41%,455849010.0,NYSE,20211014.0,策略1,,,,,,
4816,ATER,8.39,8.42,9.0,8.15,8.39,0.03,0.36,8763347.0,10.13%,401787887.0,NASDAQ,20211014.0,策略1,,,,,,
5417,HLBZ,11.71,11.44,12.54,11.2,10.24,1.2,11.72,3940578.0,13.09%,302154745.0,NASDAQ,20211014.0,策略1,,,,,,
5484,PROG,2.13,2.14,2.35,2.05,2.04,0.1,4.9,75322629.0,14.71%,293839591.0,NASDAQ,20211014.0,策略1,,,,,,
5810,NXTP,2.87,3.07,3.38,2.38,2.86,0.21,7.34,15913548.0,34.97%,250302989.0,NASDAQ,20211014.0,策略1,,,,,,
6207,DATS,10.22,12.12,12.5,9.32,11.0,1.11,10.14,58190876.0,28.91%,189744995.0,NASDAQ,20211014.0,策略1,,,,,,
6661,GMBL,7.3,6.9,7.39,6.52,6.62,0.28,4.21,3201373.0,13.14%,145442059.0,NASDAQ,20211014.0,策略1,,,,,,
7198,TKAT,8.2,8.19,8.67,7.8,7.79,0.4,5.13,1596284.0,11.17%,96587220.0,AMEX,20211014.0,策略1,,,,,,
7443,GRVI,7.9,8.26,9.36,7.73,5.01,3.25,64.87,105010467.0,32.52%,78714002.0,NASDAQ,20211014.0,策略1,,,,,,
7585,PALT,8.9,9.26,9.69,8.39,8.72,0.54,6.19,3412726.0,14.91%,71850744.0,NASDAQ,20211014.0,策略1,,,,,,
7875,BWEN,2.94,3.28,3.34,2.92,2.75,0.53,19.13,1980843.0,15.40%,53309000.0,NASDAQ,20211014.0,策略1,,,,,,
7891,GROM,4.25,4.32,4.67,4.21,4.3,0.02,0.57,3768809.0,10.70%,52554710.0,NASDAQ,20211014.0,策略1,,,,,,
8053,JZXN,2.13,2.43,2.72,2.13,2.1,0.33,15.72,9796828.0,28.10%,44996370.0,NASDAQ,20211014.0,策略1,,,,,,
8382,ICD,4.36,4.44,4.75,4.3,4.27,0.17,3.98,745903.0,10.54%,30931624.0,NYSE,20211014.0,策略1,,,,,,
8663,CYTO,1.77,1.77,1.97,1.66,1.6,0.17,10.66,4935938.0,19.37%,21829008.0,NASDAQ,20211014.0,策略1,,,,,,
8679,CETX,1.19,1.19,1.4,1.17,1.03,0.15,14.98,51149064.0,22.22%,21509575.0,NASDAQ,20211014.0,策略1,,,,,,
8788,TSRI,11.18,9.65,12.09,9.4,9.19,0.46,4.97,2942885.0,29.26%,18038022.0,NASDAQ,20211014.0,策略1,,,,,,
8962,INM,1.56,1.55,1.7,1.48,1.47,0.08,5.44,1450095.0,14.97%,13784240.0,NASDAQ,20211014.0,策略1,,,,,,
9857,OXBRW,0.19,0.19,0.19,0.16,0.18,0.0,2.54,5255.0,18.29%,3094.0,NASDAQ,20211014.0,策略1,,,,,,
294,WBA,47.41,50.91,51.06,45.23,47.26,3.65,7.72,19573667.0,12.34%,40879298630.0,NASDAQ,20211014.0,策略2,,,,,,
811,TAP.A,58.8,61.8,62.9,56.14,58.28,3.52,6.04,3059.0,11.60%,12644236619.0,NYSE,20211014.0,策略2,,,,,,
1282,TASK,66.58,69.62,71.83,62.7,64.95,4.67,7.19,1048979.0,14.06%,6318996699.0,NASDAQ,20211014.0,策略2,,,,,,
1886,LYEL,13.01,13.44,13.65,12.22,12.85,0.59,4.59,49311.0,11.12%,3076267038.0,NASDAQ,20211014.0,策略2,,,,,,
1901,RLAY,32.8,35.57,37.4,32.48,32.76,2.81,8.58,1864562.0,15.02%,3036691222.0,NASDAQ,20211014.0,策略2,,,,,,
2338,VERV,43.53,45.67,46.88,42.02,43.05,2.62,6.1,154278.0,11.29%,2066046953.0,NASDAQ,20211014.0,策略2,,,,,,
2435,OPAD,8.99,8.22,9.2,8.17,8.09,0.13,1.61,10508396.0,12.73%,1928212033.0,NYSE,20211014.0,策略2,,,,,,
2891,CIFR,5.78,5.88,6.15,5.56,5.53,0.35,6.33,2479752.0,10.67%,1366234215.0,NASDAQ,20211014.0,策略2,,,,,,
3024,GRWG,20.93,22.35,22.98,20.72,20.92,1.43,6.86,3209789.0,10.80%,1246983340.0,NASDAQ,20211014.0,策略2,,,,,,
3025,CRBU,21.75,22.86,23.17,21.0,20.78,2.08,10.01,291381.0,10.42%,1246194034.0,NASDAQ,20211014.0,策略2,,,,,,
3279,LWLG,9.45,9.45,10.09,9.11,9.37,0.08,0.84,396404.0,10.46%,1013052989.0,NASDAQ,20211014.0,策略2,,,,,,
0,AAPL,,143.57,,,,,,,,,,,策略3,143.11400000000003,-1.516007152284942,-1.6582675257434156,0.14226037345847353,,
1,MSFT,,301.6,,,,,,,,,,,策略3,293.16400000000004,0.13684687179573984,-0.8685553172784,1.0054021890741398,,
2,GOOG,,2829.01,,,,,,,,,,,策略3,2771.113999999999,-10.657596939310224,-16.046625144650484,5.38902820534026,,
3,GOOGL,,2819.36,,,,,,,,,,,策略3,2766.294000000001,-6.98991252495307,-10.8343872847095,3.84447475975643,,
4,TSLA,,819.0,,,,,,,,,,,策略3,778.2455000000002,19.155668871316152,17.243733396730732,1.9119354745854196,,
5,BRK.A,,424545.81,,,,,,,,,,,策略3,418410.002,190.76154383050743,-696.0090566150253,886.7706004455328,,
6,BRK.B,,282.04,,,,,,,,,,,策略3,277.8304999999999,0.14016378692514309,-0.46277209755313164,0.6029358844782747,,
7,NVDA,,216.26,,,,,,,,,,,策略3,210.81850000000045,-6.2321739577629955,-8.799655179441952,2.567481221678957,,
8,VXUS,,64.56,,,,,,,,,,,策略3,63.875499999999974,-0.403868227390177,-0.5293163165786023,0.12544808918842532,,
9,UNH,,420.29,,,,,,,,,,,策略3,403.67999999999984,-1.2998960956757628,-3.5378721173972294,2.2379760217214666,,
10,BAC,,44.69,,,,,,,,,,,策略3,42.682,0.8342666744619649,0.7737125415187924,0.06055413294317247,,
11,HD,,342.88,,,,,,,,,,,策略3,334.7755000000001,2.0177809479955044,1.3217764499751499,0.6960044980203546,,
12,PG,,144.22,,,,,,,,,,,策略3,141.96099999999998,-0.11784358148184992,-0.41562737871225924,0.2977837972304093,,
13,PYPL,,266.36,,,,,,,,,,,策略3,265.2465,-5.166604752188164,-5.274193189418677,0.10758843723051292,,
14,ADBE,,606.89,,,,,,,,,,,策略3,596.8179999999996,-13.765503775983348,-16.49687181628158,2.731368040298232,,
15,CRM,,289.54,,,,,,,,,,,策略3,273.06899999999996,5.584315583326941,4.577965548787605,1.0063500345393352,,
16,NKE,,157.03,,,,,,,,,,,策略3,151.5865000000001,-1.5430169150255892,-2.918859067279815,1.3758421522542257,,
17,KO,,54.74,,,,,,,,,,,策略3,53.746000000000016,-0.27584916840385887,-0.5095734192572496,0.23372425085339077,,
18,CSCO,,55.62,,,,,,,,,,,策略3,55.32100000000004,-0.5921854978418182,-0.6344727448229752,0.042287246981157045,,
19,PEP,,159.4,,,,,,,,,,,策略3,154.02550000000005,0.7346355950203929,-0.07970465638117596,0.8143402514015688,,
20,ACN,,337.79,,,,,,,,,,,策略3,329.4559999999999,-0.7761758259486555,-1.443010306584873,0.6668344806362174,,
21,RDS.B,,48.36,,,,,,,,,,,策略3,44.24099999999999,1.9570328771001897,1.6689496290840575,0.28808324801613217,,
22,RDS.A,,48.2,,,,,,,,,,,策略3,44.50300000000003,1.8004037240357462,1.555293603214459,0.24511012082128714,,
23,NVS,,82.56,,,,,,,,,,,策略3,82.55299999999997,-1.370191731674126,-1.7110334340988866,0.34084170242476075,,
24,SHOP,,1411.95,,,,,,,,,,,策略3,1394.487999999999,-25.6334404964864,-32.668305627039686,7.034865130553285,,
25,SAP,,144.83,,,,,,,,,,,策略3,138.55299999999994,-1.4785179582212038,-2.380928449726435,0.9024104915052313,,
26,VUG,,299.19,,,,,,,,,,,策略3,295.7450000000002,-1.7796605861504986,-2.1622742601645344,0.3826136740140358,,
27,UPS,,191.6,,,,,,,,,,,策略3,184.67449999999985,-1.9237719263226438,-2.886208570249355,0.9624366439267114,,
