,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,tag,macdp,macdn
4485,ANY,6.9,8.28,8.32,6.81,6.69,1.59,23.77,71096889.0,22.57%,486940756.0,NASDAQ,策略1,,
4488,AEHR,19.0,19.86,20.33,18.22,19.44,0.42,2.16,6579167.0,10.85%,486228423.0,NASDAQ,策略1,,
4583,FLXN,9.86,9.17,9.89,9.03,5.78,3.39,58.65,32387025.0,14.88%,461178653.0,NASDAQ,策略1,,
4879,ATER,7.79,8.31,8.85,7.67,7.75,0.56,7.23,14832581.0,15.21%,397956779.0,NASDAQ,策略1,,
5605,PROG,1.37,2.14,2.15,1.36,1.35,0.79,58.52,197881125.0,58.52%,284063627.0,NASDAQ,策略1,,
6070,DATS,11.54,12.6,13.55,10.65,11.72,0.88,7.51,57696572.0,24.74%,217343820.0,NASDAQ,策略1,,
6271,APRN,6.96,8.03,8.24,6.96,6.84,1.19,17.4,3168776.0,18.71%,192894919.0,NYSE,策略1,,
6566,USWS,2.57,3.02,3.27,2.51,2.4,0.62,25.83,24537440.0,31.67%,157774635.0,NASDAQ,策略1,,
6637,AMPY,3.53,3.98,4.1,3.51,3.43,0.55,16.03,8171072.0,17.20%,151212244.0,NYSE,策略1,,
7111,VLCN,10.04,9.28,10.67,9.14,9.13,0.15,1.64,2199208.0,16.76%,105215681.0,NASDAQ,策略1,,
7226,EZFL,3.89,3.68,4.4,3.57,3.46,0.22,6.42,29581150.0,24.00%,95449704.0,NASDAQ,策略1,,
7414,SNPX,11.6,12.79,12.85,11.12,11.06,1.73,15.64,817239.0,15.64%,78483302.0,NASDAQ,策略1,,
7515,MKD,0.35,0.4,0.41,0.34,0.35,0.05,14.66,20983172.0,18.50%,73620307.0,NASDAQ,策略1,,
7636,PALT,8.35,8.18,9.37,7.96,8.14,0.04,0.49,5389010.0,17.26%,67401239.0,NASDAQ,策略1,,
7885,GRNQ,0.67,0.76,0.83,0.67,0.68,0.08,11.58,8759037.0,24.23%,51430717.0,NASDAQ,策略1,,
7946,NAOV,2.01,2.0,2.21,1.86,1.7,0.3,17.65,35034889.0,20.59%,48219268.0,NASDAQ,策略1,,
7980,NTRB,7.2,7.4,7.6,6.71,6.7,0.7,10.45,851171.0,13.28%,47036399.0,NASDAQ,策略1,,
8225,TRVI,1.53,1.5,1.65,1.31,1.2,0.3,25.0,12412863.0,28.33%,35957553.0,NASDAQ,策略1,,
8418,WAFU,6.24,6.62,7.87,6.24,6.44,0.17,2.72,844496.0,25.30%,29371161.0,NASDAQ,策略1,,
8597,RMED,3.06,3.34,3.53,3.03,2.92,0.42,14.38,1800593.0,17.12%,23478329.0,NYSE,策略1,,
9840,AGBAR,0.32,0.29,0.32,0.26,0.29,0.0,0.0,7687.0,21.72%,2320.0,NASDAQ,策略1,,
737,SOFI,16.9,18.39,18.51,16.83,16.21,2.18,13.45,69003069.0,10.36%,14614400346.0,NASDAQ,策略2,,
1558,SPWR,24.15,26.14,27.1,24.14,23.96,2.18,9.1,7451339.0,12.35%,4518436757.0,NASDAQ,策略2,,
1746,IBRX,8.88,9.75,9.96,8.81,8.81,0.94,10.67,1245540.0,13.05%,3813776138.0,NASDAQ,策略2,,
2102,RIOT,26.21,27.63,28.9,26.06,25.83,1.8,6.97,16065541.0,10.99%,2651133482.0,NASDAQ,策略2,,
2496,BTU,17.0,16.69,17.9,16.11,16.05,0.64,3.99,8249317.0,11.15%,1929664582.0,NYSE,策略2,,
2690,PTGX,34.07,35.36,37.1,32.1,18.24,17.12,93.86,45597802.0,27.41%,1681388290.0,NASDAQ,策略2,,
2721,IONQ,8.77,8.44,9.4,8.39,8.41,0.03,0.36,3376889.0,12.01%,1624576484.0,NYSE,策略2,,
2796,OCGN,7.08,7.69,7.75,6.96,7.07,0.62,8.77,13762883.0,11.17%,1528432652.0,NASDAQ,策略2,,
2800,ROIV,6.49,6.85,6.89,6.0,6.41,0.44,6.86,700058.0,13.88%,1525287664.0,NASDAQ,策略2,,
2847,CENX,14.84,16.28,16.51,14.81,14.35,1.93,13.45,2807736.0,11.85%,1467302103.0,NASDAQ,策略2,,
3151,MRUS,28.27,30.99,31.57,27.95,28.1,2.89,10.28,802149.0,12.88%,1192426889.0,NASDAQ,策略2,,
3337,GOTU,3.4,4.01,4.38,3.37,3.36,0.65,19.35,31895736.0,30.06%,1028176049.0,NYSE,策略2,,
0,NXTP,2.1884,2.44,,,,,,,,,,策略4,25.0,20.0
1,ANY,6.9,8.27,,,,,,,,,,策略4,29.0,16.0
2,ACOR,4.08,4.49,,,,,,,,,,策略4,19.0,7.0
3,USWS,2.57,3.0195,,,,,,,,,,策略4,23.0,22.0
