,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio
0,ETF563230,2026-03-02,1.6799999475479126,1.5800000429153442,5900.0,-589.9994373321533,-0.05952375461590092
1,ETF159399,2026-02-27,1.2200000286102295,1.2200000286102295,8100.0,0.0,0.0
2,ETF159611,2026-02-26,1.059999942779541,1.1399999856948853,9400.0,752.0004034042358,0.07547174267346414
3,ETF515880,2026-02-26,1.1100000143051147,1.0800000429153442,9000.0,-269.99974250793457,-0.027027000903735277
4,ETF515050,2026-02-24,2.380000114440918,2.380000114440918,4200.0,0.0,0.0
5,ETF159980,2026-02-24,2.0999999046325684,2.0899999141693115,4700.0,-46.99995517730713,-0.004761900436850977
6,ETF516150,2026-02-09,2.0199999809265137,2.140000104904175,4900.0,588.0006074905396,0.05940600253006966
7,ETF560610,2026-02-09,1.2200000286102295,1.2100000381469727,8100.0,-80.99992275238037,-0.00819671330225163
8,ETF515220,2026-02-04,1.1699999570846558,1.2400000095367432,8500.0,595.0004458427429,0.059829106854422325
9,ETF510880,2026-02-04,3.1500000953674316,3.2799999713897705,3100.0,402.9996156692505,0.04126980066239491
10,ETF515080,2026-02-04,1.6100000143051147,1.649999976158142,6200.0,247.99976348876953,0.02484469658237336
11,ETF512800,2026-02-04,0.7799999713897705,0.7799999713897705,12800.0,0.0,0.0
12,ETF511990,2026-01-30,100.0,100.0,100.0,0.0,0.0
13,ETF563020,2026-01-29,1.190000057220459,1.2100000381469727,8400.0,167.99983978271484,0.016806705852795166
14,ETF159549,2026-01-28,1.2100000381469727,1.2300000190734863,8200.0,163.9998435974121,0.01652890933552547
15,ETF512890,2026-01-26,1.159999966621399,1.190000057220459,8600.0,258.0007791519165,0.025862147812329633
16,ETF515100,2026-01-26,1.440000057220459,1.4700000286102295,6900.0,206.9998025894165,0.020833312637276943
17,ETF512960,2025-12-31,1.4199999570846558,1.5499999523162842,7000.0,909.9999666213989,0.09154929518344924
18,ETF515790,2025-12-25,0.9700000286102295,1.1299999952316284,10300.0,1647.999656200409,0.1649484143321515
19,ETF515180,2025-12-25,1.3700000047683716,1.4600000381469727,7200.0,648.0002403259277,0.06569345479222648
20,ETF159201,2025-12-19,1.2000000476837158,1.3899999856948853,8300.0,1576.9994854927063,0.15833327538437544
21,ETF512950,2025-12-19,1.4299999475479126,1.600000023841858,6900.0,1173.0005264282227,0.11888117659406376
22,ETF516120,2025-12-17,0.8199999928474426,1.0399999618530273,12100.0,2661.999624967575,0.2682926474689796
23,ETF159870,2025-12-17,0.7599999904632568,0.9599999785423279,13100.0,2619.9998438358307,0.2631578823536055
24,ETF159326,2025-12-05,1.440000057220459,2.0799999237060547,6900.0,4415.99907875061,0.444444334065477
25,ETF561380,2025-12-05,1.5800000429153442,2.240000009536743,6300.0,4157.999789714813,0.41772148651565666
26,ETF159652,2025-12-02,1.5099999904632568,1.9600000381469727,6600.0,2970.0003147125244,0.2980132784939019
27,ETF560860,2025-12-01,1.440000057220459,1.9600000381469727,6900.0,3587.9998683929443,0.3611110835163693
28,ETF512400,2025-12-01,1.7599999904632568,2.2799999713897705,5600.0,2911.9998931884766,0.2954545362182885
29,ETF517520,2025-12-01,1.9900000095367432,2.549999952316284,5000.0,2799.999713897705,0.28140700507328376
30,ETF516020,2025-10-27,0.75,1.0199999809265137,13300.0,3590.999746322632,0.3599999745686849
