date,industry_top3,s_pnl,week,day_of_week,week_start,week_order
2026-02-02,"输配电气,互联网服务,光伏设备",-6735.005331039429,6,0,2026-02-02,0
2026-02-03,"输配电气,生物制品,风电设备",5143.999814987183,6,1,2026-02-02,0
2026-02-04,"煤炭采选,石油行业,光伏设备",-743.0003643035889,6,2,2026-02-02,0
2026-02-05,"银行,煤炭采选,电源设备",-9728.997468948364,6,3,2026-02-02,0
2026-02-06,"通信设备,化工行业,输配电气",913.9963626861572,6,4,2026-02-02,0
2026-02-09,"生物制品,电源设备,化工行业",9439.002513885498,7,0,2026-02-09,1
2026-02-10,"电源设备,船舶制造,生物制品",3441.9976711273193,7,1,2026-02-09,1
2026-02-11,"美容护理,电网设备,煤炭采选",3334.004068374634,7,2,2026-02-09,1
2026-02-12,"输配电气,电源设备,生物制品",4613.999557495117,7,3,2026-02-09,1
2026-02-13,"船舶制造,银行,环保工程",-7619.001340866089,7,4,2026-02-09,1
2026-02-24,"输配电气,生物制品,环保工程",10070.994186401367,9,1,2026-02-23,3
2026-02-25,"美容护理,环保工程,船舶制造",5379.004526138306,9,2,2026-02-23,3
2026-02-26,"输配电气,美容护理,电源设备",6804.995155334473,9,3,2026-02-23,3
2026-02-27,"环保工程,电力行业,煤炭采选",9570.002126693726,9,4,2026-02-23,3
2026-03-02,"输配电气,美容护理,煤炭采选",14384.999132156372,10,0,2026-03-02,4
2026-03-03,"美容护理,石油行业,煤炭采选",-6037.998819351196,10,1,2026-03-02,4
2026-03-04,"输配电气,电源设备,电网设备",7317.000532150269,10,2,2026-03-02,4
2026-03-05,"输配电气,电源设备,美容护理",9551.999807357788,10,3,2026-03-02,4
2026-03-06,"美容护理,互联网服务,输配电气",13410.00361442566,10,4,2026-03-02,4
