,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
0,SZ300658,美容护理<span style='color:#ff4444;'><b>↑1</b></span>/0,延江股份,100.7,-1.2,5.659197238372016,12.458650140273603,-0.15166664123535167,2025-11-03,9.069999694824219,30.260000228881836,23309.00058746338,2.336273566376155,2,82.5,1.0,1.2416646352375196,多头排列,6325.0
1,SH688226,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,威腾电气,86.7,-1.4,5.029309224050102,17.711867292110593,-0.03860808989081943,2026-02-25,39.25,45.91999816894531,1333.9996337890625,0.16993625908140925,3,35.666666666666664,1.0,0.12846695977081454,连续上涨,5354.001617431641
2,SZ300001,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,特锐德,349.7,0.8,6.018164597918516,11.46135217219324,-0.03839259310916776,2026-02-24,28.649999618530273,33.130001068115234,1344.0004348754883,0.15637003522636633,2,29.0,1.0,0.08732601478379698,连续上涨,5354.001617431641
3,SH603861,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,白云电器,110.8,0.0,4.913546114750661,10.299714161364045,-0.10667399834202562,2025-12-12,11.850000381469727,20.5,6919.999694824219,0.7299577502171721,1,84.0,1.0,0.7299577502171721,连续上涨,5354.001617431641
4,SZ000400,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,许继电气,342.6,1.7,2.8893326286175176,4.236831495520874,-0.06763588593331549,2025-12-11,25.690000534057617,33.630001068115234,2382.000160217285,0.30906969128052136,2,82.0,1.0,0.18355797160713658,连续上涨,5354.001617431641
5,SH603530,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,神马电力,307.4,-0.6,8.824258412184903,28.53442797369303,-0.043369351872352246,2025-12-05,42.540000915527344,71.19999694824219,5731.999206542969,0.6737187450847887,1,91.0,1.0,0.6737187450847887,多头排列,5354.001617431641
6,SZ002452,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,长高电新,74.9,1.8,4.522425545021642,5.036142658224383,-0.0800744576354595,2025-12-05,8.050000190734863,12.079999923706055,4835.99967956543,0.5006210729795403,2,83.5,1.0,0.2745483643854846,连续上涨,5354.001617431641
7,SH600312,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,平高电气,339.5,2.1,4.158063617006861,6.844298679258005,-0.05510385487747149,2025-12-05,16.969999313354492,25.020000457763672,4025.00057220459,0.4743666158002879,2,75.0,1.0,0.24866780087596382,连续上涨,5354.001617431641
8,SH600406,输配电气<span style='color:#00a859;'><b>↓1</b></span>/1,国电南瑞,2410.3,0.9,7.832839750409651,13.801593715640974,-0.028141921147091464,2025-12-05,22.700000762939453,30.010000228881836,2923.999786376953,0.32202639736809424,2,81.0,1.0,0.1892856992325008,连续上涨,5354.001617431641
9,SZ300693,电源设备<span style='color:#ff4444;'><b>↑2</b></span>/2,盛弘股份,144.5,1.5,4.834877864556655,12.057494823400306,-0.04830921529168808,2026-02-12,39.779998779296875,46.209999084472656,1286.0000610351562,0.16163902721189158,4,20.25,0.5,-0.027441150671296932,连续上涨,2724.0013122558594
10,SH600875,电源设备<span style='color:#ff4444;'><b>↑2</b></span>/2,东方电气,1529.3,0.8,8.456438402226569,21.130922613439864,-0.06211671875815172,2025-12-05,21.579999923706055,44.220001220703125,9056.000518798828,1.0491196189545202,3,49.0,0.6666666666666666,0.33096400948285454,多头排列,2724.0013122558594
11,SZ301638,互联网服务<span style='color:#ff4444;'><b>↑15</b></span>/3,南网数字,902.4,-1.6,4.628330926095897,18.47194451093426,-0.05972226355301424,2026-02-13,21.709999084472656,28.3799991607666,2668.000030517578,0.30723170693565055,2,34.0,1.0,0.17784103321065853,多头排列,2231.999969482422
