date,industry_top3,s_pnl,week,day_of_week,week_start,week_order
2026-02-02,"输配电气,电网设备,专业服务",-167060.00921726227,6,0,2026-02-02,0
2026-02-03,"输配电气,光学光电子,专用设备",103352.99623012543,6,1,2026-02-02,0
2026-02-04,"机械行业,光伏设备,电力行业",-9262.008285522461,6,2,2026-02-02,0
2026-02-05,"文化传媒,通讯行业,银行",-117243.9909696579,6,3,2026-02-02,0
2026-02-06,"通讯行业,电力行业,输配电气",-21175.997495651245,6,4,2026-02-02,0
2026-02-09,"半导体,专用设备,输配电气",101110.00592708588,7,0,2026-02-09,1
2026-02-10,"文化传媒,船舶制造,医药制造",-22896.021151542664,7,1,2026-02-09,1
2026-02-11,"小金属,有色金属,化学原料",-33220.98536491394,7,2,2026-02-09,1
2026-02-12,"专用设备,半导体,消费电子",52783.00437927246,7,3,2026-02-09,1
2026-02-13,"文化传媒,消费电子,船舶制造",-51936.996245384216,7,4,2026-02-09,1
2026-02-24,"输配电气,电力行业,贵金属",126722.99082279205,9,1,2026-02-23,3
2026-02-25,"半导体,小金属,电子元件",117600.99437236786,9,2,2026-02-23,3
2026-02-26,"电子元件,输配电气,半导体",134271.0061788559,9,3,2026-02-23,3
2026-02-27,"电力行业,小金属,有色金属",110334.99166965485,9,4,2026-02-23,3
2026-03-02,"有色金属,贵金属,小金属",129828.99434566498,10,0,2026-03-02,4
2026-03-03,"采掘行业,港口水运,燃气",-189088.00461292267,10,1,2026-03-02,4
2026-03-04,"输配电气,电网设备,电力行业",592.0049667358398,10,2,2026-03-02,4
2026-03-05,"输配电气,专用设备,电力行业",87563.99776935577,10,3,2026-03-02,4
2026-03-06,"电力行业,输配电气,专用设备",61450.011014938354,10,4,2026-03-02,4
