industry,pl
输配电气/0,173556.0
半导体<span style='color:#00a859;'><b>↓75</b></span>/79,122846.0
专用设备<span style='color:#00a859;'><b>↓27</b></span>/32,103162.0
有色金属<span style='color:#00a859;'><b>↓71</b></span>/78,93966.0
电力行业/1,83079.0
小金属<span style='color:#00a859;'><b>↓72</b></span>/75,66991.0
通用设备<span style='color:#00a859;'><b>↓62</b></span>/68,56578.0
电子元件<span style='color:#00a859;'><b>↓69</b></span>/71,52999.0
贵金属<span style='color:#00a859;'><b>↓65</b></span>/76,47539.0
电网设备<span style='color:#ff4444;'><b>↑13</b></span>/2,43437.0
