buy_date,industry,pnl
2026-03-06,输配电气,173555.99801540375
2026-03-06,电力行业,83079.00013923645
2026-03-06,电网设备,43436.99994087219
2026-03-06,化学原料,42896.999168395996
2026-03-06,化学制品,18182.999897003174
2026-03-05,输配电气,165444.99924182892
2026-03-05,电力行业,74813.99564743042
2026-03-05,电网设备,40124.99961853027
2026-03-05,化学原料,39770.999908447266
2026-03-05,化学制品,15910.999393463135
2026-03-04,输配电气,146165.9998178482
2026-03-04,电力行业,65873.0016708374
2026-03-04,化学原料,38419.99878883362
2026-03-04,电网设备,37042.99793243408
2026-03-04,化学制品,12875.999164581299
2026-03-03,输配电气,131423.9968061447
2026-03-03,电力行业,59089.99743461609
2026-03-03,化学原料,38359.99879837036
2026-03-03,电网设备,28438.998651504517
2026-03-03,化学制品,9155.999279022217
2026-03-02,输配电气,146932.99977779388
2026-03-02,电力行业,63339.99938964844
2026-03-02,化学原料,34242.99898147583
2026-03-02,电网设备,31218.000268936157
2026-03-02,化学制品,11574.999523162842
2026-02-27,输配电气,143763.999915123
2026-02-27,电力行业,58052.99644470215
2026-02-27,电网设备,30436.999654769897
2026-02-27,化学原料,29004.99858856201
2026-02-27,化学制品,12450.998592376709
2026-02-26,输配电气,140314.0023469925
2026-02-26,电力行业,42203.99820804596
2026-02-26,电网设备,32795.99852561951
2026-02-26,化学原料,26701.998281478882
2026-02-26,化学制品,13246.00019454956
2026-02-25,输配电气,125848.99780750275
2026-02-25,电力行业,34303.998708724976
2026-02-25,电网设备,28219.99969482422
2026-02-25,化学原料,26819.99797821045
2026-02-25,化学制品,11555.998516082764
2026-02-24,输配电气,121949.00205135345
2026-02-24,电力行业,31096.99730873108
2026-02-24,电网设备,25754.998064041138
2026-02-24,化学原料,25329.998111724854
2026-02-24,化学制品,9371.000385284424
2026-02-13,输配电气,101422.00219631195
2026-02-13,电力行业,22246.00064754486
2026-02-13,化学原料,21406.999921798706
2026-02-13,电网设备,20292.99864768982
2026-02-13,化学制品,6763.000297546387
2026-02-12,输配电气,107296.00093364716
2026-02-12,电力行业,25952.999711036682
2026-02-12,化学原料,24447.99814224243
2026-02-12,电网设备,22589.999055862427
2026-02-12,化学制品,6961.000919342041
2026-02-11,输配电气,112135.00306606293
2026-02-11,化学原料,24276.99875831604
2026-02-11,电力行业,22531.000089645386
2026-02-11,电网设备,19219.999265670776
2026-02-11,化学制品,6696.998977661133
2026-02-10,输配电气,112084.9993467331
2026-02-10,化学原料,22582.998609542847
2026-02-10,电力行业,21638.997292518616
2026-02-10,电网设备,19012.000036239624
2026-02-10,化学制品,6948.999881744385
2026-02-09,输配电气,114275.99923610687
2026-02-09,电力行业,23727.998185157776
2026-02-09,化学原料,22508.99796485901
2026-02-09,电网设备,19579.999923706055
2026-02-09,化学制品,7121.000194549561
2026-02-06,输配电气,107239.99879360199
2026-02-06,电力行业,22065.999150276184
2026-02-06,化学原料,20963.99850845337
2026-02-06,电网设备,17009.99903678894
2026-02-06,化学制品,6350.999546051025
2026-02-05,输配电气,103369.00112628937
2026-02-05,电力行业,18192.999005317688
2026-02-05,化学原料,18163.999319076538
2026-02-05,电网设备,15226.000499725342
2026-02-05,化学制品,6231.998920440674
2026-02-04,输配电气,123589.00144100189
2026-02-04,电力行业,23597.99635410309
2026-02-04,电网设备,20660.000610351562
2026-02-04,化学原料,19989.99891281128
2026-02-04,化学制品,6625.998973846436
2026-02-03,输配电气,121883.99937152863
2026-02-03,电力行业,20758.996438980103
2026-02-03,化学原料,19887.998247146606
2026-02-03,电网设备,19665.000772476196
2026-02-03,化学制品,7024.999713897705
2026-02-02,输配电气,109045.9986448288
2026-02-02,电力行业,17316.99969768524
2026-02-02,化学原料,16961.999464035034
