buy_date,total_cnt,buy_cnt,sell_cnt
2025-09-08,275,12,6
2025-09-09,281,11,12
2025-09-10,280,13,6
2025-09-11,287,27,0
2025-09-12,314,19,7
2025-09-15,326,13,11
2025-09-16,328,11,9
2025-09-17,330,36,6
2025-09-18,360,8,48
2025-09-19,320,5,27
2025-09-22,298,10,24
2025-09-23,284,6,26
2025-09-24,264,16,3
2025-09-25,277,8,9
2025-09-26,276,12,26
2025-09-29,262,20,5
2025-09-30,277,29,8
2025-10-09,298,60,6
2025-10-10,352,33,5
2025-10-13,380,18,7
2025-10-14,391,16,30
2025-10-15,377,7,1
2025-10-16,383,5,18
2025-10-17,370,1,78
2025-10-20,293,1,15
2025-10-21,279,23,3
2025-10-22,299,8,21
2025-10-23,286,9,16
2025-10-24,279,49,8
2025-10-27,320,26,4
2025-10-28,342,24,7
2025-10-29,359,25,7
2025-10-30,377,11,10
2025-10-31,378,15,17
2025-11-03,376,17,16
2025-11-04,377,4,34
2025-11-05,347,7,3
2025-11-06,351,21,3
2025-11-07,369,12,24
2025-11-10,357,14,12
2025-11-11,359,8,7
2025-11-12,360,7,20
2025-11-13,347,14,3
2025-11-14,358,8,9
2025-11-17,357,11,24
2025-11-18,344,5,48
2025-11-19,301,12,31
2025-11-20,282,6,45
2025-11-21,243,1,84
2025-11-24,160,10,20
2025-11-25,150,15,6
2025-11-26,159,15,13
2025-11-27,161,11,11
2025-11-28,161,54,1
2025-12-01,214,51,2
2025-12-02,263,16,8
2025-12-03,271,19,13
2025-12-04,277,10,15
2025-12-05,272,61,6
2025-12-08,327,25,15
2025-12-09,337,6,19
2025-12-10,324,18,19
2025-12-11,323,3,29
2025-12-12,297,19,6
2025-12-15,310,15,21
2025-12-16,304,4,46
2025-12-17,262,13,2
2025-12-18,273,14,16
2025-12-19,271,18,1
2025-12-22,288,26,4
2025-12-23,310,33,7
2025-12-24,336,32,2
2025-12-25,366,31,1
2025-12-26,396,15,4
2025-12-29,407,16,8
2025-12-30,415,8,7
2025-12-31,416,4,14
2026-01-05,406,17,4
2026-01-06,419,17,3
2026-01-07,433,6,8
2026-01-08,431,12,7
2026-01-09,436,11,3
2026-01-12,444,10,9
2026-01-13,445,5,12
2026-01-14,438,2,7
2026-01-15,433,5,4
2026-01-16,434,2,8
2026-01-19,428,10,5
2026-01-20,433,3,11
2026-01-21,425,3,11
2026-01-22,417,9,4
2026-01-23,422,4,6
2026-01-26,420,4,15
2026-01-27,409,3,13
2026-01-28,399,8,10
2026-01-29,397,9,27
2026-01-30,379,4,14
2026-02-02,369,4,41
2026-02-03,332,10,2
2026-02-04,340,15,6
2026-02-05,349,12,26
2026-02-06,335,6,6
2026-02-09,335,17,3
2026-02-10,349,19,12
2026-02-11,356,9,11
2026-02-12,354,23,6
2026-02-13,371,13,14
2026-02-24,370,44,7
2026-02-25,407,28,6
2026-02-26,429,17,3
2026-02-27,443,22,2
2026-03-02,463,14,3
2026-03-03,474,3,24
2026-03-04,453,5,3
2026-03-05,455,4,6
2026-03-06,453,16,4
