,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
0,SZ300490,输配电气/0,华自科技,76.7,-5.1,-0.5389155139144779,-1.038337127331934,-0.12311139673308646,2026-03-06,19.239999771118164,19.239999771118164,0.0,0.0,6,24.333333333333332,0.5,-0.010167306729932895,多头排列,26622.998237609863
1,SZ300427,输配电气/0,红相股份,80.2,-2.0,1.4284306989182933,2.280673180583626,-0.17924525133157532,2026-03-05,14.789999961853027,15.779999732971191,593.9998626708984,0.06693710437265801,2,61.0,1.0,0.748595643827016,多头排列,26622.998237609863
2,SH688226,输配电气/0,威腾电气,86.7,-1.4,5.029309224050102,17.711867292110593,-0.03860808989081943,2026-02-25,39.25,45.91999816894531,1333.9996337890625,0.16993625908140925,3,35.666666666666664,1.0,0.12846695977081454,连续上涨,26622.998237609863
3,SZ300001,输配电气/0,特锐德,349.7,0.8,6.018164597918516,11.46135217219324,-0.03839259310916776,2026-02-24,28.649999618530273,33.130001068115234,1344.0004348754883,0.15637003522636633,2,29.0,1.0,0.08732601478379698,连续上涨,26622.998237609863
4,SZ300018,输配电气/0,中元股份,69.0,0.4,4.996158533443906,7.10211598159584,-0.05656108499654566,2026-02-12,12.579999923706055,14.210000038146973,1141.0000801086426,0.12957075710066632,5,28.6,0.6,0.0827091240221062,连续上涨,26622.998237609863
5,SH688676,输配电气/0,金盘科技,469.3,-0.4,1.8835989147615801,2.583542821349521,-0.12668594546497203,2026-02-12,99.0999984741211,102.05999755859375,295.9999084472656,0.029868810595851104,2,71.5,1.0,0.23176735598292303,多头排列,26622.998237609863
6,SH603897,输配电气/0,长城科技,71.0,2.3,7.027964553363791,41.985327755116174,-0.017735823145452523,2026-02-06,26.34000015258789,34.38999938964844,2414.999771118164,0.3056187999402741,5,24.2,0.2,0.03782469655178428,突破半年线,26622.998237609863
7,SZ002300,输配电气/0,太阳电缆,76.0,-0.3,5.544177854560376,15.134462349522543,-0.05817451436025911,2026-02-05,9.319999694824219,10.520000457763672,1200.0007629394531,0.12875545088331528,5,25.4,0.6,0.03253038244964598,多头排列,26622.998237609863
8,SZ002350,输配电气/0,北京科锐,73.6,-1.3,7.117855719105601,7.117855719105601,-0.06039609775369115,2026-01-07,8.729999542236328,13.569999694824219,5324.00016784668,0.5544101267327269,2,75.0,1.0,0.3541107038447148,多头排列,26622.998237609863
9,SZ002358,输配电气/0,森源电气,85.4,0.5,5.226470440885418,12.047598803384632,-0.11803278346797685,2026-01-06,5.579999923706055,9.180000305175781,6120.000648498535,0.645161367507461,3,44.333333333333336,0.6666666666666666,0.21940026812698482,均线收敛,26622.998237609863
