,SYMBOL,IND,NAME,TOTAL VALUE,ERP,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,HIS DAYS,STRATEGY,pnl_growth
0,SZ000859,塑胶制品<span style='color:#ff4444;'><b>↑30</b></span>/11,国风新材,95.3,-2.7,2026-02-10,2026-03-03,11.65999984741211,10.649999618530273,-808.0001831054688,-0.08662094700678762,21,连续下跌,2719.000244140625
1,SZ002837,专用设备<span style='color:#00a859;'><b>↓27</b></span>/32,英维克,989.3,-1.2,2026-01-28,2026-03-05,104.23999786376953,102.0999984741211,-213.99993896484375,-0.02052954176423897,36,连续下跌,364.99900817871094
2,SZ301200,专用设备<span style='color:#00a859;'><b>↓27</b></span>/32,大族数控,701.1,-0.9,2025-12-09,2026-03-03,116.69000244140625,144.11000061035156,2741.9998168945312,0.23498155450561212,84,连续下跌,364.99900817871094
3,SZ002195,电子信息<span style='color:#ff4444;'><b>↑44</b></span>/33,岩山科技,610.2,-1.4,2026-02-24,2026-03-03,10.149999618530273,9.6899995803833,-414.0000343322754,-0.04532020250593674,7,连续下跌,348.99988174438477
4,SZ300435,燃气<span style='color:#00a859;'><b>↓13</b></span>/50,中泰股份,113.9,2.1,2025-12-05,2026-03-06,19.639999389648438,29.540000915527344,4950.000762939453,0.5040734131130805,91,连续下跌,-245.9991455078125
5,SH600126,钢铁行业<span style='color:#00a859;'><b>↓53</b></span>/63,杭钢股份,306.3,-1.3,2026-02-10,2026-03-05,9.029999732971191,8.789999961853027,-263.99974822998047,-0.02657804852882267,23,跌破半年线,-1947.0007181167603
6,SZ300251,文化传媒<span style='color:#ff4444;'><b>↑15</b></span>/64,光线传媒,512.8,4.3,2025-12-30,2026-03-05,16.290000915527344,17.520000457763672,737.9997253417969,0.07550641332769442,65,连续下跌,-2135.9996795654297
7,SH688387,通信设备<span style='color:#ff4444;'><b>↑13</b></span>/65,信科移动-U,544.9,-2.3,2026-02-27,2026-03-03,17.3799991607666,15.350000381469727,-1014.9993896484375,-0.11680085600230462,4,低于买入价10%,-2462.0012283325195
8,SH688031,软件开发<span style='color:#00a859;'><b>↓48</b></span>/70,星环科技-U,306.5,-2.6,2026-02-13,2026-03-04,207.5,186.00999450683594,-2149.0005493164062,-0.10356629153332078,19,低于买入价10%,-5092.999839782715
9,SH688183,电子元件<span style='color:#00a859;'><b>↓69</b></span>/71,生益电子,662.3,0.4,2026-02-25,2026-03-04,88.30999755859375,80.33999633789062,-797.0001220703125,-0.09025027110226136,7,空头排列,-5167.9948806762695
10,SZ002938,电子元件<span style='color:#00a859;'><b>↓69</b></span>/71,鹏鼎控股,1233.2,0.8,2026-02-26,2026-03-03,61.970001220703125,53.529998779296875,-844.000244140625,-0.13619496974588713,5,连续下跌,-5167.9948806762695
11,SZ302132,航天航空<span style='color:#00a859;'><b>↓19</b></span>/73,中航成飞,2041.7,-0.4,2026-02-13,2026-03-05,79.45999908447266,76.87999725341797,-258.00018310546875,-0.032469190294250175,20,空头排列,-8084.99870300293
12,SH600391,航天航空<span style='color:#00a859;'><b>↓19</b></span>/73,航发科技,167.2,-1.6,2025-12-10,2026-03-03,27.989999771118164,46.88999938964844,5669.999885559082,0.6752411494491143,83,连续下跌,-8084.99870300293
13,SZ301611,非金属材料<span style='color:#00a859;'><b>↓60</b></span>/74,珂玛科技,510.1,-1.1,2025-12-01,2026-03-03,53.04999923706055,117.83000183105469,6478.000259399414,1.2211122247997894,92,连续下跌,-8465.000629425049
14,SH600111,小金属<span style='color:#00a859;'><b>↓72</b></span>/75,北方稀土,1963.0,-0.7,2026-02-09,2026-03-06,52.88999938964844,54.29999923706055,140.99998474121094,0.026659101222982293,25,连续下跌,-10850.996017456055
15,SZ300748,小金属<span style='color:#00a859;'><b>↓72</b></span>/75,金力永磁,494.8,-0.4,2026-02-11,2026-03-05,37.7599983215332,36.47999954223633,-255.999755859375,-0.03389827426361236,22,跌破半年线,-10850.996017456055
16,SZ300102,光学光电子<span style='color:#00a859;'><b>↓54</b></span>/77,乾照光电,324.7,-1.4,2025-10-28,2026-03-03,12.380000114440918,32.02000045776367,15712.000274658203,1.5864297384305557,126,连续下跌,-15579.998207092285
17,SH600362,有色金属<span style='color:#00a859;'><b>↓71</b></span>/78,江西铜业,1855.7,2.5,2026-02-27,2026-03-06,58.040000915527344,53.59000015258789,-445.0000762939453,-0.07667127313481747,7,连续下跌,-20183.001470565796
18,SZ002185,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,华天科技,457.6,-0.2,2025-12-23,2026-03-06,10.9399995803833,14.010000228881836,2763.0005836486816,0.2806216422533878,73,连续下跌,-37610.00108718872
19,SZ300604,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,长川科技,818.1,-0.4,2025-11-28,2026-03-05,77.11000061035156,130.85000610351562,5374.000549316406,0.6969265344027216,97,连续下跌,-37610.00108718872
20,SH688120,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,华海清科,631.0,-0.1,2025-11-28,2026-03-04,135.0,178.41000366210938,4341.0003662109375,0.3215555826822917,96,连续下跌,-37610.00108718872
21,SH688012,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,中微公司,2105.7,-0.8,2025-12-08,2026-03-03,276.260009765625,333.5,5723.9990234375,0.2071960769238247,85,连续下跌,-37610.00108718872
22,SH688525,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,佰维存储,977.8,-0.9,2025-12-29,2026-03-03,113.37999725341797,146.66000366210938,3328.0006408691406,0.29352625873068755,64,连续下跌,-37610.00108718872
23,SZ301308,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,江波龙,1282.6,-1.0,2025-12-25,2026-03-03,255.22000122070312,262.8999938964844,767.999267578125,0.03009165676298202,68,连续下跌,-37610.00108718872
24,SZ300223,半导体<span style='color:#00a859;'><b>↓75</b></span>/79,北京君正,600.9,-1.2,2026-02-24,2026-03-03,136.67999267578125,118.37999725341797,-1829.9995422363281,-0.1338893503292228,7,连续下跌,-37610.00108718872
25,SZ002064,化纤行业,华峰化学,598.5,1.5,2026-02-24,2026-03-03,12.550000190734863,11.649999618530273,-630.0004005432129,-0.07171319191445291,7,连续下跌,
26,SZ002173,医疗行业,创新医疗,132.0,-1.7,2026-02-25,2026-03-03,30.1200008392334,27.450000762939453,-801.0000228881836,-0.08864541838976592,6,连续下跌,
