,buy_date,total_cnt,buy_cnt,sell_cnt
0,2024-07-22,507,32.0,43.0
1,2024-07-23,496,15.0,146.0
2,2024-07-24,365,19.0,48.0
3,2024-07-25,336,14.0,31.0
4,2024-07-26,319,49.0,16.0
5,2024-07-29,352,24.0,57.0
6,2024-07-30,319,24.0,19.0
7,2024-07-31,324,186.0,6.0
8,2024-08-01,504,32.0,44.0
9,2024-08-02,492,18.0,56.0
10,2024-08-05,454,9.0,91.0
11,2024-08-06,372,49.0,15.0
12,2024-08-07,406,45.0,19.0
13,2024-08-08,432,26.0,53.0
14,2024-08-09,405,17.0,47.0
15,2024-08-12,375,29.0,47.0
16,2024-08-13,357,35.0,26.0
17,2024-08-14,366,19.0,52.0
18,2024-08-15,333,48.0,10.0
19,2024-08-16,371,38.0,46.0
20,2024-08-19,363,41.0,27.0
21,2024-08-20,377,11.0,69.0
22,2024-08-21,319,22.0,27.0
23,2024-08-22,314,24.0,39.0
24,2024-08-23,299,36.0,31.0
25,2024-08-26,304,26.0,30.0
26,2024-08-27,300,18.0,37.0
27,2024-08-28,281,25.0,19.0
28,2024-08-29,287,54.0,25.0
29,2024-08-30,316,92.0,18.0
30,2024-09-02,390,32.0,74.0
31,2024-09-03,348,74.0,17.0
32,2024-09-04,405,18.0,43.0
33,2024-09-05,380,44.0,19.0
34,2024-09-06,405,28.0,68.0
35,2024-09-09,365,19.0,42.0
36,2024-09-10,342,26.0,24.0
37,2024-09-11,344,25.0,39.0
38,2024-09-12,330,30.0,35.0
39,2024-09-13,325,18.0,43.0
40,2024-09-18,300,,
