industry,pl
生物技术/0,53821.81
石油天然气勘探生产<span style='color:#ff4444;'><b>↑16</b></span>/2,7765.97
软件<span style='color:#ff4444;'><b>↑7</b></span>/1,6397.63
服装制造<span style='color:#00a859;'><b>↓5</b></span>/6,5274.0
农业投入<span style='color:#ff4444;'><b>↑6</b></span>/5,4145.28
通信设备<span style='color:#00a859;'><b>↓5</b></span>/17,3955.52
石油天然气炼制销售<span style='color:#ff4444;'><b>↑13</b></span>/3,3344.48
专业化学品<span style='color:#00a859;'><b>↓13</b></span>/18,1771.68
旅行服务<span style='color:#ff4444;'><b>↑3</b></span>/4,1761.8
电信服务/13,1510.6
