,SYMBOL,IND,NAME,TOTAL VALUE,ERP,SHARPE RATIO,SORTINO RATIO,MAX DD,OPEN DATE,BASE,ADJBASE,PNL,PNL RATIO,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
0,ROIV,生物技术/0,Roivant Sciences Ltd.,214.2,-8.1,4.855890102545223,30.345618562672378,-0.04409104842756073,2026-02-06,25.81999969482422,29.719999313354492,1509.2998523712158,0.1510456880180387,1,27.0,1.0,0.1510456880180387,多头排列,8780.380331993103
1,DNTH,生物技术/0,"Dianthus Therapeutics, Inc.",26.2,-9.8,4.566199239723008,12.307974756423786,-0.10073985298470567,2026-01-13,44.86000061035156,61.43000030517578,3678.5399322509766,0.3693713657908566,2,52.5,1.0,0.24671900559950066,多头排列,8780.380331993103
2,ERAS,生物技术/0,"Erasca, Inc.",47.7,-7.0,7.574064617784885,26.187124377273932,-0.05939784739643428,2025-11-12,2.6500000953674316,15.539999961853027,48633.96949625015,4.864150717963787,1,113.0,1.0,4.864150717963787,多头排列,8780.380331993103
3,PATH,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,UiPath,61.2,-0.4,-0.99729841735278,-1.3864805119870205,-0.23538464766282308,2026-03-04,11.069999694824219,11.550000190734863,433.440447807312,0.043360479597399526,2,22.0,1.0,0.059092415026645306,连续上涨,6349.69070148468
4,KVYO,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,"Klaviyo, Inc.",64.0,-4.7,0.6602360249729475,1.2236595172732119,-0.2481060850650364,2026-03-03,18.8700008392334,21.18000030517578,1221.9897174835205,0.12241650043488962,2,40.5,1.0,0.09632279533437559,连续上涨,6349.69070148468
5,NICE,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,耐斯系统,75.9,3.6,2.494898425012812,4.76374838835346,-0.16078191586948343,2026-03-03,123.5,128.1300048828125,370.400390625,0.03748991807945344,5,14.8,0.4,-0.02281398649100317,连续上涨,6349.69070148468
6,INTA,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,"Intapp, Inc.",22.9,-5.2,1.8635421725238674,3.023373568517062,-0.2376664598505368,2026-03-02,23.440000534057617,28.280000686645508,2061.8400650024414,0.20648464344339565,3,18.0,0.6666666666666666,0.07375790010760068,连续上涨,6349.69070148468
7,ADBE,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,Adobe,1152.6,1.8,0.29610890145507207,0.4313432515941015,-0.08430164719465771,2026-03-02,260.8800048828125,281.739990234375,792.679443359375,0.07996007728124975,3,19.0,0.6666666666666666,0.01352814322176629,连续上涨,6349.69070148468
8,FFIV,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,F5网络公司,159.0,0.2,0.8594998687089256,0.9607874100676821,-0.07305346670364721,2026-03-02,278.0,283.6400146484375,197.4005126953125,0.020287822476393883,2,28.0,1.0,0.05359390943327376,连续上涨,6349.69070148468
9,DAVE,软件<span style='color:#ff4444;'><b>↑7</b></span>/1,"Dave, Inc.",28.8,0.9,4.3870323806625935,7.45831806562757,-0.10747589377783884,2026-02-26,192.3300018310547,218.2100067138672,1319.8802490234375,0.13456041510125835,3,21.0,0.6666666666666666,0.04929490708610378,突破年线,6349.69070148468
10,SM,石油天然气勘探生产<span style='color:#ff4444;'><b>↑16</b></span>/2,SM Energy Co.,60.2,17.9,4.977719694126701,12.751611659068445,-0.10693155971944068,2026-01-22,18.75,25.579999923706055,3640.389959335327,0.3642666625976563,3,24.0,0.3333333333333333,0.08673342508333887,连续上涨,2710.9900512695312
11,AR,石油天然气勘探生产<span style='color:#ff4444;'><b>↑16</b></span>/2,Antero Resources Corp.,119.9,1.1,3.7596735331960636,6.1355374591702425,-0.04811477322516222,2026-01-21,34.2400016784668,38.90999984741211,1363.6394653320312,0.13639012675289175,4,20.0,1.0,0.039348900661458706,连续上涨,2710.9900512695312
12,APA,石油天然气勘探生产<span style='color:#ff4444;'><b>↑16</b></span>/2,阿帕契公司,113.7,8.2,4.461669000480963,8.442748244037181,-0.0474168486105816,2026-01-08,25.3700008392334,32.380001068115234,2761.9400901794434,0.27631060295596177,4,24.25,0.25,0.030323227623001662,连续上涨,2710.9900512695312
