buy_date,total_cnt,buy_cnt,sell_cnt
2025-09-08,287,8,8
2025-09-09,287,10,6
2025-09-10,291,3,17
2025-09-11,277,19,5
2025-09-12,291,7,14
2025-09-15,284,8,15
2025-09-16,277,7,11
2025-09-17,273,12,8
2025-09-18,277,10,17
2025-09-19,270,14,10
2025-09-22,274,6,12
2025-09-23,268,8,5
2025-09-24,271,5,19
2025-09-25,257,7,12
2025-09-26,252,6,8
2025-09-29,250,5,3
2025-09-30,252,15,10
2025-10-01,257,12,11
2025-10-02,258,11,8
2025-10-03,261,11,8
2025-10-06,264,7,7
2025-10-07,264,6,15
2025-10-08,255,11,10
2025-10-09,256,5,18
2025-10-10,243,2,41
2025-10-13,204,5,7
2025-10-14,202,16,3
2025-10-15,215,14,22
2025-10-16,207,9,19
2025-10-17,197,8,1
2025-10-20,204,13,5
2025-10-21,212,26,7
2025-10-22,231,4,11
2025-10-23,224,23,3
2025-10-24,244,13,7
2025-10-27,250,19,5
2025-10-28,264,8,15
2025-10-29,257,9,29
2025-10-30,237,12,24
2025-10-31,225,9,6
2025-11-03,228,5,20
2025-11-04,213,7,34
2025-11-05,186,10,18
2025-11-06,178,6,23
2025-11-07,161,14,1
2025-11-10,174,18,3
2025-11-11,189,27,7
2025-11-12,209,22,11
2025-11-13,220,16,14
2025-11-14,222,7,9
2025-11-17,220,3,36
2025-11-18,187,5,9
2025-11-19,183,3,12
2025-11-20,174,4,37
2025-11-21,141,22,2
2025-11-24,161,16,8
2025-11-25,169,34,3
2025-11-26,200,25,3
2025-11-28,222,35,0
2025-12-01,257,16,2
2025-12-02,271,11,7
2025-12-03,275,24,9
2025-12-04,290,15,2
2025-12-05,303,24,9
2025-12-08,318,11,22
2025-12-09,307,11,19
2025-12-10,299,8,15
2025-12-11,292,13,7
2025-12-12,298,2,20
2025-12-15,280,5,21
2025-12-16,264,3,9
2025-12-17,258,7,14
2025-12-18,251,4,6
2025-12-19,249,19,2
2025-12-22,266,7,2
2025-12-23,271,8,2
2025-12-24,277,5,1
2025-12-26,281,6,4
2025-12-29,283,8,4
2025-12-30,287,3,6
2025-12-31,284,2,12
2026-01-02,274,24,40
2026-01-05,258,27,15
2026-01-06,270,23,8
2026-01-07,285,10,14
2026-01-08,281,16,16
2026-01-09,281,13,9
2026-01-12,285,11,7
2026-01-13,289,7,17
2026-01-14,279,8,15
2026-01-15,272,8,11
2026-01-16,269,7,11
2026-01-20,265,5,28
2026-01-21,242,5,8
2026-01-22,239,15,5
2026-01-23,249,7,7
2026-01-26,249,4,4
2026-01-27,249,7,10
2026-01-28,246,6,15
2026-01-29,237,6,13
2026-01-30,230,10,13
2026-02-02,227,9,11
2026-02-03,225,4,22
2026-02-04,207,11,27
2026-02-05,191,7,16
2026-02-06,182,14,5
2026-02-09,191,4,4
2026-02-10,191,12,4
2026-02-11,199,6,4
2026-02-12,201,5,16
2026-02-13,190,10,1
2026-02-17,199,3,7
2026-02-18,195,9,3
2026-02-19,201,18,5
2026-02-20,214,19,3
2026-02-23,230,3,6
2026-02-24,227,18,2
2026-02-25,243,16,6
2026-02-26,253,46,0
2026-02-27,299,26,6
2026-03-02,319,29,0
2026-03-03,348,18,16
2026-03-04,350,8,11
2026-03-05,347,8,25
