industry,cnt
软件<span style='color:#ff4444;'><b>↑2</b></span>/1,10
生物技术<span style='color:#00a859;'><b>↓6</b></span>/6,10
资本市场<span style='color:#ff4444;'><b>↑1</b></span>/0,3
医疗设备<span style='color:#00a859;'><b>↓14</b></span>/27,3
石油天然气勘探生产<span style='color:#ff4444;'><b>↑14</b></span>/13,2
工业金属采矿<span style='color:#00a859;'><b>↓27</b></span>/29,2
化学品<span style='color:#ff4444;'><b>↑2</b></span>/2,2
信息技术服务/18,2
金融证券交易所<span style='color:#ff4444;'><b>↑4</b></span>/5,1
计算机硬件<span style='color:#00a859;'><b>↓1</b></span>/30,1
