buy_date,total_cnt,buy_cnt,sell_cnt
2025-09-08,49,2.0,0.0
2025-09-09,51,4.0,2.0
2025-09-10,53,3.0,4.0
2025-09-11,52,4.0,2.0
2025-09-12,54,0.0,1.0
2025-09-15,53,1.0,1.0
2025-09-16,53,3.0,0.0
2025-09-17,56,2.0,0.0
2025-09-18,58,2.0,2.0
2025-09-19,58,0.0,1.0
2025-09-22,57,3.0,2.0
2025-09-23,58,3.0,4.0
2025-09-24,57,2.0,2.0
2025-09-25,57,0.0,5.0
2025-09-26,52,2.0,3.0
2025-09-29,51,2.0,1.0
2025-09-30,52,1.0,4.0
2025-10-01,49,0.0,4.0
2025-10-02,45,4.0,2.0
2025-10-03,47,6.0,0.0
2025-10-06,53,2.0,0.0
2025-10-07,55,1.0,3.0
2025-10-08,53,2.0,1.0
2025-10-09,54,1.0,4.0
2025-10-10,51,0.0,3.0
2025-10-13,48,2.0,1.0
2025-10-14,49,2.0,1.0
2025-10-15,50,3.0,2.0
2025-10-16,51,0.0,6.0
2025-10-17,45,1.0,3.0
2025-10-20,43,4.0,2.0
2025-10-21,45,7.0,2.0
2025-10-22,50,1.0,3.0
2025-10-23,48,3.0,0.0
2025-10-24,51,3.0,1.0
2025-10-27,53,2.0,0.0
2025-10-28,55,0.0,4.0
2025-10-29,51,2.0,3.0
2025-10-30,50,0.0,2.0
2025-10-31,48,2.0,3.0
2025-11-03,47,0.0,8.0
2025-11-04,39,2.0,8.0
2025-11-05,33,0.0,2.0
2025-11-06,31,2.0,9.0
2025-11-07,24,2.0,3.0
2025-11-10,23,2.0,2.0
2025-11-11,23,5.0,0.0
2025-11-12,28,2.0,2.0
2025-11-13,28,,
2025-11-14,28,3.0,0.0
2025-11-17,31,1.0,1.0
2025-11-18,31,0.0,1.0
2025-11-19,30,0.0,2.0
2025-11-20,28,0.0,6.0
2025-11-21,22,3.0,0.0
2025-11-24,25,1.0,0.0
2025-11-25,26,6.0,0.0
2025-11-26,32,4.0,2.0
2025-11-28,34,10.0,1.0
2025-12-01,43,4.0,0.0
2025-12-02,47,5.0,1.0
2025-12-03,51,2.0,1.0
2025-12-04,52,9.0,0.0
2025-12-05,61,4.0,0.0
2025-12-08,65,2.0,1.0
2025-12-09,66,1.0,1.0
2025-12-10,66,0.0,1.0
2025-12-11,65,1.0,2.0
2025-12-12,64,0.0,4.0
2025-12-15,60,0.0,10.0
2025-12-16,50,,
2025-12-17,50,2.0,4.0
2025-12-18,48,1.0,1.0
2025-12-19,48,1.0,0.0
2025-12-22,49,1.0,1.0
2025-12-23,49,1.0,1.0
2025-12-24,49,3.0,0.0
2025-12-26,52,2.0,2.0
2025-12-29,52,0.0,1.0
2025-12-30,51,3.0,0.0
2025-12-31,54,1.0,2.0
2026-01-02,53,0.0,11.0
2026-01-05,42,8.0,4.0
2026-01-06,46,6.0,2.0
2026-01-07,50,3.0,2.0
2026-01-08,51,5.0,0.0
2026-01-09,56,3.0,0.0
2026-01-12,59,2.0,3.0
2026-01-13,58,0.0,5.0
2026-01-14,53,4.0,4.0
2026-01-15,53,0.0,4.0
2026-01-16,49,1.0,4.0
2026-01-20,46,0.0,5.0
2026-01-21,41,1.0,3.0
2026-01-22,39,5.0,3.0
2026-01-23,41,1.0,2.0
2026-01-26,40,2.0,0.0
2026-01-27,42,1.0,0.0
2026-01-28,43,1.0,3.0
2026-01-29,41,1.0,4.0
2026-01-30,38,0.0,5.0
2026-02-02,33,0.0,2.0
2026-02-03,31,0.0,1.0
2026-02-04,30,3.0,3.0
2026-02-05,30,0.0,4.0
2026-02-06,26,1.0,0.0
2026-02-09,27,1.0,0.0
2026-02-10,28,1.0,0.0
2026-02-11,29,2.0,0.0
2026-02-12,31,0.0,3.0
2026-02-13,28,2.0,0.0
2026-02-17,30,0.0,1.0
2026-02-18,29,3.0,1.0
2026-02-19,31,2.0,1.0
2026-02-20,32,5.0,1.0
2026-02-23,36,0.0,1.0
2026-02-24,35,4.0,0.0
2026-02-25,39,5.0,2.0
2026-02-26,42,10.0,2.0
2026-02-27,50,5.0,1.0
2026-03-02,54,5.0,1.0
2026-03-03,58,3.0,2.0
2026-03-04,59,2.0,1.0
2026-03-05,60,0.0,3.0
