,SYMBOL,IND,NAME,TOTAL VALUE,ERP,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,HIS DAYS,STRATEGY,pnl_growth
0,REGN,生物技术<span style='color:#ff4444;'><b>↑10</b></span>/2,再生元制药公司,807.7,1.5,2026-02-04,2026-03-05,775.0599975585938,764.9299926757812,-121.56005859375,-0.013069962215469237,29,连续下跌,6759.311537742615
1,VRTX,生物技术<span style='color:#ff4444;'><b>↑10</b></span>/2,福泰制药,1169.8,-0.8,2026-02-06,2026-03-05,477.9200134277344,460.82000732421875,-342.0001220703125,-0.035780058635483974,27,连续下跌,6759.311537742615
2,GIL,服装制造<span style='color:#ff4444;'><b>↑54</b></span>/3,吉登运动服,120.8,-0.1,2025-11-14,2026-03-05,58.630001068115234,65.79000091552734,1217.1999740600586,0.12212177583100768,111,连续下跌,3190.540630340576
3,CIFR,资本市场<span style='color:#ff4444;'><b>↑13</b></span>/4,"Cipher Digital, Inc.",59.9,-17.7,2026-03-04,2026-03-05,16.040000915527344,15.149999618530273,-554.4708080291748,-0.05548636198240578,1,空头排列,2979.909204483032
4,CIFR,资本市场<span style='color:#ff4444;'><b>↑13</b></span>/4,"Cipher Digital, Inc.",59.9,-17.7,2026-02-24,2026-03-03,17.1200008392334,14.710000038146973,-1407.4404678344727,-0.14077106792912641,7,空头排列,2979.909204483032
5,IREN,资本市场<span style='color:#ff4444;'><b>↑13</b></span>/4,IREN Ltd.,131.5,-1.4,2026-02-24,2026-03-03,45.45000076293945,38.849998474121094,-1452.000503540039,-0.14521456937356292,7,连续下跌,2979.909204483032
6,HUT,资本市场<span style='color:#ff4444;'><b>↑13</b></span>/4,Hut 8 Corp.,56.0,-8.1,2026-02-24,2026-02-27,59.189998626708984,53.22999954223633,-1001.2798461914062,-0.10069267144370667,3,低于买入价10%,2979.909204483032
7,GOOG,互联网内容信息<span style='color:#ff4444;'><b>↑44</b></span>/5,谷歌,36289.2,-0.5,2026-02-25,2026-03-05,313.0299987792969,300.9100036621094,-375.7198486328125,-0.038718318258477054,8,连续下跌,2973.92080783844
8,SQM,专业化学品<span style='color:#ff4444;'><b>↑15</b></span>/11,智利矿业化工,199.1,-1.2,2026-02-24,2026-03-03,76.72000122070312,68.80000305175781,-1029.5997619628906,-0.1032325083802016,7,低于买入价10%,1564.2900161743164
9,RKLB,航空航天国防<span style='color:#00a859;'><b>↓2</b></span>/12,Rocket Lab Corp.,391.7,-4.7,2026-02-19,2026-03-05,76.58000183105469,70.0,-855.4002380371094,-0.0859232394061705,14,连续下跌,1530.3803634643555
10,PDD,互联网零售<span style='color:#ff4444;'><b>↑67</b></span>/15,拼多多公司,1425.3,6.0,2026-02-20,2026-03-04,104.94000244140625,101.19000244140625,-356.25,-0.03573470471466618,12,连续下跌,1313.8696155548096
11,JD,互联网零售<span style='color:#ff4444;'><b>↑67</b></span>/15,京东,358.7,8.0,2026-02-24,2026-02-27,27.520000457763672,26.530000686645508,-359.36991691589355,-0.035973828293991726,3,连续下跌,1313.8696155548096
