,buy_date,industry,pnl
0,2024-07-22,生物科技,108881.14983272552
1,2024-07-22,互联网服务与基础设施,57300.057735443115
2,2024-07-22,制药,34791.15878534317
3,2024-07-22,综合性银行,46201.233302116394
4,2024-07-23,生物科技,108715.64513874054
5,2024-07-23,互联网服务与基础设施,58271.88037490845
6,2024-07-23,制药,34728.44036626816
7,2024-07-24,生物科技,106851.28965473175
8,2024-07-24,应用软件,47084.51118850708
9,2024-07-24,互联网服务与基础设施,48882.100551605225
10,2024-07-24,制药,34784.720031261444
11,2024-07-24,综合性银行,40985.301451683044
12,2024-07-26,互联网服务与基础设施,36547.90807723999
13,2024-07-26,制药,37732.061596393585
14,2024-07-29,生物科技,107019.08586883545
15,2024-07-29,互联网服务与基础设施,35432.96783065796
16,2024-07-29,制药,35674.7482419014
17,2024-07-29,综合性银行,45412.022547245026
18,2024-07-30,生物科技,102834.67870998383
19,2024-07-30,应用软件,54063.957485198975
20,2024-07-30,互联网服务与基础设施,34261.369678497314
21,2024-07-30,综合性银行,45323.82120990753
22,2024-07-31,生物科技,103277.19991874695
23,2024-07-31,互联网服务与基础设施,37405.74819946289
24,2024-07-31,制药,36219.383514881134
25,2024-07-31,综合性银行,47532.851227760315
26,2024-08-01,生物科技,104873.75591754913
27,2024-08-01,应用软件,53942.680337905884
28,2024-08-01,互联网服务与基础设施,33027.79222869873
29,2024-08-01,制药,38681.04929304123
30,2024-08-02,生物科技,95970.33490562439
31,2024-08-02,制药,37685.149760723114
32,2024-08-05,应用软件,40921.83222579956
33,2024-08-05,制药,32291.191987514496
34,2024-08-06,生物科技,95076.49988937378
35,2024-08-06,互联网服务与基础设施,27545.448932647705
36,2024-08-06,综合性银行,22308.562829494476
37,2024-08-07,应用软件,41904.330043792725
38,2024-08-07,互联网服务与基础设施,25504.687831878662
39,2024-08-07,制药,31720.66147184372
40,2024-08-08,应用软件,29681.281747817993
41,2024-08-09,生物科技,105952.43006324768
42,2024-08-09,综合性银行,28908.090527057648
43,2024-08-12,生物科技,105089.42718887329
44,2024-08-12,应用软件,36874.871503829956
45,2024-08-12,制药,22343.208716869354
46,2024-08-12,综合性银行,28439.05178976059
47,2024-08-13,应用软件,41428.53065299988
48,2024-08-13,制药,24576.179807186127
49,2024-08-14,应用软件,42543.2998790741
50,2024-08-14,互联网服务与基础设施,36405.84943008423
51,2024-08-14,制药,25167.909381389618
52,2024-08-15,生物科技,112059.55248737335
53,2024-08-16,应用软件,46768.88165092468
54,2024-08-16,互联网服务与基础设施,42180.730476379395
55,2024-08-19,生物科技,119940.60889434814
56,2024-08-19,互联网服务与基础设施,46914.84032058716
57,2024-08-20,应用软件,48656.08090019226
58,2024-08-20,综合性银行,42835.8997130394
59,2024-08-21,生物科技,120848.1605424881
60,2024-08-21,应用软件,50519.88794326782
61,2024-08-21,制药,31923.19820165634
62,2024-08-21,综合性银行,43335.33113527298
63,2024-08-22,制药,31542.710687160492
64,2024-08-22,综合性银行,41565.31900215149
65,2024-08-23,制药,32187.791004657745
66,2024-08-26,生物科技,117917.10080242157
67,2024-08-26,互联网服务与基础设施,49499.16948699951
68,2024-08-27,生物科技,117786.69108581543
69,2024-08-27,应用软件,49984.14014625549
70,2024-08-27,互联网服务与基础设施,48551.29038619995
71,2024-08-27,制药,34250.05982923508
72,2024-08-27,综合性银行,47842.47749328613
73,2024-08-28,生物科技,116375.3805065155
74,2024-08-28,制药,33694.30092382431
75,2024-08-29,应用软件,51333.251598358154
76,2024-08-29,制药,33819.49975633621
77,2024-08-30,生物科技,117833.37700080872
78,2024-09-04,生物科技,112916.23102378845
79,2024-09-04,互联网服务与基础设施,34004.00844955444
80,2024-09-04,综合性银行,44193.01136827469
81,2024-09-05,生物科技,110818.05712604523
82,2024-09-05,制药,30513.84256219864
