,buy_date,total_cnt,buy_cnt,sell_cnt
0,2024-07-22,702,20.0,14.0
1,2024-07-23,708,8.0,26.0
2,2024-07-24,690,10.0,80.0
3,2024-07-25,620,27.0,26.0
4,2024-07-26,621,24.0,4.0
5,2024-07-29,641,13.0,16.0
6,2024-07-30,638,13.0,17.0
7,2024-07-31,634,33.0,7.0
8,2024-08-01,660,6.0,60.0
9,2024-08-02,606,9.0,41.0
10,2024-08-05,574,6.0,40.0
11,2024-08-06,540,29.0,17.0
12,2024-08-07,552,11.0,50.0
13,2024-08-08,513,32.0,9.0
14,2024-08-09,536,21.0,18.0
15,2024-08-12,539,19.0,18.0
16,2024-08-13,540,48.0,9.0
17,2024-08-14,579,25.0,18.0
18,2024-08-15,586,90.0,4.0
19,2024-08-16,672,31.0,18.0
20,2024-08-19,685,62.0,5.0
21,2024-08-20,742,4.0,35.0
22,2024-08-21,711,40.0,7.0
23,2024-08-22,744,16.0,31.0
24,2024-08-23,729,50.0,6.0
25,2024-08-26,773,15.0,22.0
26,2024-08-27,766,7.0,23.0
27,2024-08-28,750,6.0,21.0
28,2024-08-29,735,21.0,10.0
29,2024-08-30,746,18.0,10.0
30,2024-09-03,754,3.0,74.0
31,2024-09-04,683,11.0,26.0
32,2024-09-05,668,10.0,35.0
33,2024-09-06,643,4.0,44.0
34,2024-09-09,603,11.0,13.0
35,2024-09-10,601,7.0,22.0
36,2024-09-11,586,30.0,7.0
37,2024-09-12,609,18.0,12.0
38,2024-09-13,615,52.0,4.0
39,2024-09-16,663,32.0,12.0
40,2024-09-17,683,34.0,13.0
41,2024-09-18,704,14.0,13.0
42,2024-09-19,705,,
