,SYMBOL,OPEN DATE,CLOSE DATE,BASE,ADJBASE,PNL,PNL RATIO,IND,NAME,AVG TRANS,AVG DAYS,WIN RATE,TOTAL PNL RATIO,STRATEGY,pnl_growth
0,AFRM,2024-08-19,2024-08-28,30.34000015258789,31.579999923706055,407.959924697876,0.0408701306816703,数据处理与外包服务 <span style='color:red;'>↑8</span>(1),Affirm Holdings Inc-A,1,9.0,1.0,0.0408701306816703,下穿年线,2193.8328590393066
1,STNE,2024-08-22,2024-08-28,13.800000190734863,13.020000457763672,-564.7198066711426,-0.0565217189993137,数据处理与外包服务 <span style='color:red;'>↑8</span>(1),StoneCo Ltd-A,1,6.0,0.0,-0.0565217189993137,收盘价走低,2193.8328590393066
2,PAGS,2024-08-13,2024-08-26,12.850000381469727,11.3100004196167,-1198.1199703216553,-0.11984435145027512,数据处理与外包服务 <span style='color:red;'>↑8</span>(1),PagSeguro Digital Ltd-A,1,13.0,0.0,-0.11984435145027512,下穿年线,2193.8328590393066
3,SNOW,2024-08-22,2024-08-23,115.20999908447266,115.86000061035156,55.90013122558594,0.005641884654493585,数据处理与外包服务 <span style='color:red;'>↑8</span>(1),Snowflake Inc-A,1,1.0,1.0,0.005641884654493585,均线空头,2193.8328590393066
4,PSX,2024-08-23,2024-08-26,135.3699951171875,135.22999572753906,-10.219955444335938,-0.0010341980844960688,石油与天然气的储存和运输 <span style='color:red;'>↑28</span>(2),Phillips 66,1,3.0,0.0,-0.0010341980844960688,均线空头,1949.7787656784058
5,BMO,2024-08-19,2024-08-27,86.4000015258789,83.30000305175781,-356.4998245239258,-0.0358796113353374,综合性银行 (3),蒙特利尔银行,1,8.0,0.0,-0.0358796113353374,均线空头,1819.3807563781738
6,BA,2024-08-23,2024-08-26,174.9600067138672,173.47999572753906,-84.36062622070312,-0.008459138829072876,航天航空与国防 <span style='color:red;'>↑74</span>(13),波音,1,3.0,0.0,-0.008459138829072876,均线空头,1176.4770584106445
7,MEDP,2024-08-23,2024-08-26,390.9100036621094,385.29998779296875,-140.25039672851562,-0.014351169876915584,生命科学工具和服务 <span style='color:red;'>↑7</span>(16),Medpace Holdings Inc,1,3.0,0.0,-0.014351169876915584,均线空头,1033.4094314575195
8,SOFI,2024-07-24,2024-08-28,7.099999904632568,7.489999771118164,549.1198120117188,0.05492955939775869,投资银行业与经纪业 (17),SoFi Technologies Inc,1,35.0,1.0,0.05492955939775869,下穿年线,1025.0286436080933
9,AMD,2024-08-15,2024-08-28,147.36000061035156,146.36000061035156,-67.0,-0.006786102034867617,半导体产品 <span style='color:green;'>↓19</span>(21),超威半导体,1,13.0,0.0,-0.006786102034867617,收盘价走低,776.0792560577393
