,buy_date,industry,pnl
0,2024-07-08,医疗保健设备,35554.189041137695
1,2024-07-09,生物科技,72339.84875488281
2,2024-07-09,航天航空与国防,30091.158359527588
3,2024-07-10,生物科技,75815.99837303162
4,2024-07-10,航天航空与国防,31797.54041671753
5,2024-07-12,航天航空与国防,29409.491666793823
6,2024-07-16,综合电信业务,26814.340219020844
7,2024-07-19,生物科技,80581.28982067108
8,2024-07-19,医疗保健设备,37322.590801239014
9,2024-07-23,综合电信业务,25743.359251499176
10,2024-07-24,生物科技,83130.16966342926
11,2024-07-24,医疗保健设备,38394.291847229004
12,2024-07-25,综合电信业务,34640.05880844593
13,2024-07-29,综合电信业务,42614.49191784859
14,2024-07-29,生物科技,80073.93648433685
15,2024-07-30,生物科技,75351.54980754852
16,2024-07-30,应用软件,56302.93835258484
17,2024-07-30,医疗保健设备,34415.12839508057
18,2024-07-31,航天航空与国防,29841.078979492188
19,2024-08-01,生物科技,68196.32814407349
20,2024-08-02,医疗保健设备,35432.21057128906
21,2024-08-05,医疗保健设备,31592.47882461548
22,2024-08-06,综合电信业务,64561.071388959885
23,2024-08-06,生物科技,58993.29881858826
24,2024-08-07,应用软件,43453.67062187195
25,2024-08-07,航天航空与国防,19505.660408973694
26,2024-08-09,综合电信业务,72995.44867348671
27,2024-08-09,生物科技,60864.341005802155
28,2024-08-09,医疗保健设备,38032.782024383545
29,2024-08-12,综合电信业务,62885.98760056496
30,2024-08-12,应用软件,39450.19297027588
31,2024-08-14,医疗保健设备,39614.94898605347
32,2024-08-15,生物科技,71668.23296880722
33,2024-08-15,航天航空与国防,32476.10906982422
34,2024-08-21,生物科技,86988.79039144516
35,2024-08-21,应用软件,54692.878438949585
36,2024-08-21,医疗保健设备,50476.21179199219
37,2024-08-23,综合电信业务,106818.29112458229
38,2024-08-26,综合电信业务,108776.44607710838
39,2024-08-26,生物科技,85031.23094511032
40,2024-08-26,医疗保健设备,51598.98846054077
41,2024-08-26,航天航空与国防,35783.07556152344
42,2024-08-27,综合电信业务,95905.17156434059
43,2024-08-29,应用软件,54371.681688308716
44,2024-08-30,医疗保健设备,54979.56175613403
45,2024-09-04,综合电信业务,106130.90479445457
46,2024-09-04,航天航空与国防,35561.19255065918
47,2024-09-05,航天航空与国防,34149.31050872803
48,2024-09-06,综合电信业务,90865.98169970512
49,2024-07-11,生物科技,78836.68144702911
50,2024-07-11,应用软件,47443.30097579956
51,2024-07-11,医疗保健设备,37973.30807876587
52,2024-07-12,生物科技,80899.81774997711
53,2024-07-12,医疗保健设备,38997.12029647827
54,2024-07-15,生物科技,83109.12053966522
55,2024-07-16,应用软件,67671.31154060364
56,2024-07-16,医疗保健设备,41387.80044937134
57,2024-07-17,综合电信业务,26189.92844247818
58,2024-07-17,应用软件,58366.54397773743
59,2024-07-18,综合电信业务,23620.74952840805
60,2024-07-18,应用软件,50362.619524002075
61,2024-07-18,医疗保健设备,34981.96188735962
62,2024-07-19,应用软件,56199.73134422302
63,2024-07-19,航天航空与国防,21259.13003540039
64,2024-07-22,综合电信业务,23311.540103435516
65,2024-07-22,生物科技,83495.3709192276
66,2024-07-23,生物科技,83766.52709960938
67,2024-07-24,应用软件,48752.65104866028
68,2024-07-26,综合电信业务,41148.260182619095
69,2024-07-26,航天航空与国防,26477.347368240356
70,2024-07-29,航天航空与国防,26276.100427627563
71,2024-07-30,综合电信业务,44114.631502866745
72,2024-07-30,航天航空与国防,28462.289058685303
73,2024-07-31,生物科技,66920.31834506989
74,2024-08-01,应用软件,56382.09037399292
75,2024-08-01,医疗保健设备,37119.89881896973
76,2024-08-01,航天航空与国防,26095.767910003662
77,2024-08-02,生物科技,62827.61472892761
78,2024-08-05,综合电信业务,45130.98944950104
79,2024-08-05,应用软件,43079.00277900696
80,2024-08-05,航天航空与国防,18752.117519378662
81,2024-08-06,航天航空与国防,18896.28924560547
82,2024-08-07,综合电信业务,75717.61873030663
83,2024-08-08,应用软件,31977.892219543457
84,2024-08-08,医疗保健设备,38438.26025772095
85,2024-08-08,航天航空与国防,25173.379501342773
86,2024-08-09,航天航空与国防,27921.338653564453
87,2024-08-12,生物科技,64553.019632816315
88,2024-08-12,医疗保健设备,37808.73261642456
89,2024-08-13,综合电信业务,68507.35901904106
90,2024-08-13,应用软件,44287.26198196411
91,2024-08-13,医疗保健设备,40013.840282440186
92,2024-08-13,航天航空与国防,29255.739601135254
93,2024-08-14,应用软件,45473.6408996582
94,2024-08-15,综合电信业务,98761.21205496788
95,2024-08-16,综合电信业务,100387.94116330147
96,2024-08-16,应用软件,50403.58221435547
97,2024-08-19,生物科技,85300.7771859169
98,2024-08-19,航天航空与国防,35731.400398254395
99,2024-08-20,综合电信业务,109883.98914361
100,2024-08-20,应用软件,52352.86205673218
101,2024-08-20,医疗保健设备,43322.00982284546
102,2024-08-22,航天航空与国防,35405.0418548584
103,2024-08-23,医疗保健设备,52938.498989105225
104,2024-08-27,生物科技,84822.11022806168
105,2024-08-27,应用软件,53621.23136138916
106,2024-08-27,航天航空与国防,34938.11894989014
107,2024-08-28,生物科技,83930.16943788528
108,2024-08-28,航天航空与国防,35418.73093414307
109,2024-08-29,综合电信业务,90733.94040560722
110,2024-08-30,综合电信业务,91080.58110308647
111,2024-08-30,生物科技,86628.4184384346
112,2024-09-03,医疗保健设备,51990.43001937866
113,2024-09-03,航天航空与国防,33199.83169555664
114,2024-09-04,生物科技,84102.32263994217
115,2024-09-05,综合电信业务,94030.75167346
116,2024-09-05,生物科技,81371.91053342819
117,2024-09-05,医疗保健设备,48896.589740753174
118,2024-09-06,航天航空与国防,30312.700714111328
119,2024-07-08,综合电信业务,21523.641060352325
120,2024-07-08,应用软件,49476.77350616455
121,2024-07-09,综合电信业务,21525.371394634247
122,2024-07-09,应用软件,44493.543743133545
123,2024-07-10,应用软件,44898.99049568176
124,2024-07-11,航天航空与国防,29387.84206008911
125,2024-07-12,综合电信业务,24738.720316410065
126,2024-07-15,综合电信业务,25890.278955936432
127,2024-07-15,应用软件,61647.30074882507
128,2024-07-15,医疗保健设备,37280.93862533569
129,2024-07-15,航天航空与国防,30126.470251083374
130,2024-07-17,航天航空与国防,28058.627948760986
131,2024-07-18,生物科技,75989.60125160217
132,2024-07-18,航天航空与国防,21894.439350128174
133,2024-07-19,综合电信业务,24340.150171756744
134,2024-07-22,应用软件,59436.132986068726
135,2024-07-22,医疗保健设备,39563.04858016968
136,2024-07-24,综合电信业务,25643.11842751503
137,2024-07-24,航天航空与国防,22321.350284576416
138,2024-07-25,生物科技,83323.17030620575
139,2024-07-25,应用软件,54601.29340362549
140,2024-07-25,医疗保健设备,33151.28098297119
141,2024-07-25,航天航空与国防,24810.85087966919
142,2024-07-26,应用软件,62383.46055793762
143,2024-07-26,医疗保健设备,32420.409378051758
144,2024-07-31,应用软件,59784.26976394653
145,2024-07-31,医疗保健设备,35419.088024139404
146,2024-08-02,综合电信业务,48948.44075059891
147,2024-08-02,应用软件,48726.23902130127
148,2024-08-02,航天航空与国防,21921.160455703735
149,2024-08-06,医疗保健设备,35572.38194656372
150,2024-08-09,应用软件,40400.611355781555
151,2024-08-12,航天航空与国防,29016.620025634766
152,2024-08-14,综合电信业务,72640.80689692497
153,2024-08-15,应用软件,48467.06100273132
154,2024-08-16,医疗保健设备,43974.57099914551
155,2024-08-19,医疗保健设备,45282.007415771484
156,2024-08-20,航天航空与国防,34233.35094451904
157,2024-08-22,综合电信业务,108151.35749983788
158,2024-08-22,生物科技,84152.96045160294
159,2024-08-22,医疗保健设备,50095.560958862305
160,2024-08-23,生物科技,89314.84540891647
161,2024-08-23,航天航空与国防,36706.48120880127
162,2024-08-26,应用软件,52583.35827541351
163,2024-08-27,医疗保健设备,54736.911670684814
164,2024-08-29,生物科技,86195.63127565384
165,2024-08-29,医疗保健设备,53501.22082901001
166,2024-08-29,航天航空与国防,36960.05682373047
167,2024-09-03,生物科技,80878.79153680801
168,2024-09-04,应用软件,47150.5984916687
169,2024-09-04,医疗保健设备,51172.18067550659
170,2024-09-05,应用软件,49471.68037033081
171,2024-09-06,生物科技,78715.02318143845
172,2024-07-08,生物科技,69153.9329366684
173,2024-07-08,航天航空与国防,29290.119886398315
174,2024-07-09,医疗保健设备,35405.82760620117
175,2024-07-10,综合电信业务,21169.820100307465
176,2024-07-10,医疗保健设备,34914.56995391846
177,2024-07-11,综合电信业务,21773.41887331009
178,2024-07-12,应用软件,53173.6210193634
179,2024-07-16,生物科技,90643.51002120972
180,2024-07-16,航天航空与国防,32984.2400970459
181,2024-07-17,生物科技,83594.92205810547
182,2024-07-17,医疗保健设备,40518.72191238403
183,2024-07-22,航天航空与国防,21479.958786010742
184,2024-07-23,应用软件,59889.252115249634
185,2024-07-23,医疗保健设备,40176.00121307373
186,2024-07-23,航天航空与国防,24945.749395370483
187,2024-07-26,生物科技,83434.75008773804
188,2024-07-29,应用软件,58194.25218009949
189,2024-07-29,医疗保健设备,34114.37984466553
190,2024-07-31,综合电信业务,55727.750883340836
191,2024-08-01,综合电信业务,56323.470066547394
192,2024-08-05,生物科技,52866.34132862091
193,2024-08-06,应用软件,48046.639612197876
194,2024-08-07,生物科技,45522.1224193573
195,2024-08-07,医疗保健设备,32769.22002029419
196,2024-08-08,综合电信业务,74326.84976744652
197,2024-08-08,生物科技,50615.60589170456
198,2024-08-13,生物科技,70192.5018324852
199,2024-08-14,生物科技,67984.34045267105
200,2024-08-14,航天航空与国防,29997.25006866455
201,2024-08-15,医疗保健设备,42734.22159957886
202,2024-08-16,生物科技,72205.43617582321
203,2024-08-16,航天航空与国防,34358.800605773926
204,2024-08-19,综合电信业务,117842.17746424675
205,2024-08-19,应用软件,52997.846603393555
206,2024-08-20,生物科技,83851.68978738785
207,2024-08-21,综合电信业务,114892.86741995811
208,2024-08-21,航天航空与国防,35529.10102081299
209,2024-08-22,应用软件,49118.40135860443
210,2024-08-23,应用软件,53599.930252075195
211,2024-08-28,综合电信业务,88587.95155262947
212,2024-08-28,应用软件,49674.997217178345
213,2024-08-28,医疗保健设备,53183.15056228638
214,2024-08-30,应用软件,56545.55962562561
215,2024-08-30,航天航空与国防,38053.996406555176
216,2024-09-03,综合电信业务,88692.00015997887
217,2024-09-03,应用软件,47732.11892127991
218,2024-09-06,应用软件,49118.310638427734
219,2024-09-06,医疗保健设备,39920.39907455444
