,buy_date,total_cnt,buy_cnt,sell_cnt
0,2024-07-08,558,27.0,19.0
1,2024-07-09,566,21.0,30.0
2,2024-07-10,557,43.0,14.0
3,2024-07-11,586,81.0,7.0
4,2024-07-12,660,45.0,5.0
5,2024-07-15,700,39.0,32.0
6,2024-07-16,707,69.0,6.0
7,2024-07-17,770,30.0,54.0
8,2024-07-18,746,8.0,47.0
9,2024-07-19,707,13.0,37.0
10,2024-07-22,683,32.0,17.0
11,2024-07-23,698,16.0,38.0
12,2024-07-24,676,19.0,85.0
13,2024-07-25,610,38.0,26.0
14,2024-07-26,622,34.0,9.0
15,2024-07-29,647,20.0,25.0
16,2024-07-30,642,14.0,21.0
17,2024-07-31,635,42.0,8.0
18,2024-08-01,669,10.0,71.0
19,2024-08-02,608,10.0,56.0
20,2024-08-05,562,4.0,45.0
21,2024-08-06,521,45.0,19.0
22,2024-08-07,547,17.0,64.0
23,2024-08-08,500,75.0,11.0
24,2024-08-09,564,26.0,41.0
25,2024-08-12,549,18.0,28.0
26,2024-08-13,539,64.0,11.0
27,2024-08-14,592,20.0,31.0
28,2024-08-15,581,99.0,7.0
29,2024-08-16,673,30.0,24.0
30,2024-08-19,679,58.0,7.0
31,2024-08-20,730,6.0,44.0
32,2024-08-21,692,47.0,9.0
33,2024-08-22,730,19.0,46.0
34,2024-08-23,703,61.0,8.0
35,2024-08-26,756,22.0,28.0
36,2024-08-27,750,9.0,31.0
37,2024-08-28,728,8.0,37.0
38,2024-08-29,699,39.0,10.0
39,2024-08-30,728,21.0,12.0
40,2024-09-03,737,5.0,85.0
41,2024-09-04,657,13.0,23.0
42,2024-09-05,647,10.0,38.0
43,2024-09-06,619,,
