data_id,al_text,sell_cnt,unit_price,lanlong,age,total_cnt
5011000012023,东怡花苑,2,104686,"[121.489631,31.206448]",2000-2001年 ,300户
5011000006902,丽园路666号,1,95238,"[121.4863077,31.21287448]",1983年 ,28户
5011000005794,淮海中路497号,1,179021,"[121.4761625,31.22707802]",1935-1936年 ,9户
5011000009319,兴安路141弄,1,149041,"[121.4773502,31.22695242]",1936-1996年 ,19户
5011000013815,卢湾教师公寓,1,94091,"[121.47873,31.207287]",1997年 ,160户
5011000014098,蒙自大楼,1,91550,"[121.484742,31.209792]",2000年 ,133户
5011000016580,南昌花苑,1,252388,"[121.471982,31.223768]",1999-2002年 ,15户
5011000006078,局门路160-162号,2,98544,"[121.486944,31.212603]",1985年 ,60户
5011000006759,牌楼路31弄,1,103660,"[121.4929799,31.21972935]",1990-1992年 ,52户
5011063973751,融创外滩壹号院,13,203958,"[121.505537,31.223592]",2016-2021年 ,1122户
5011000017565,汇金大厦,1,,"[121.4866467,31.24084382]",2010年 ,183户
5011000006950,瞿溪路463弄,1,86273,"[121.4947195,31.20905226]",1972-1973年 ,110户
5011000006558,福建中路195弄,1,165219,"[121.48784917044,31.23954696648]",1975年 ,76户
5020033194568957,县左街6号,1,133635,"[121.501724,31.230113]",1987年 ,49户
5011000014336,钟和公寓,1,195286,"[121.468258,31.221882]",1947-1977年 ,65户
5011000004566,威海路12弄,0,,"[121.4774158,31.23456684]",1930-1996年 ,37户
5011000000104,顺昌路605弄,0,,"[121.486477,31.21681768]",1935-1981年 ,4户
5020031083886176,凤阳路409-411号,0,,"[121.474818,31.239104]",暂无信息 ,1户
5011000002032,宁波路400号,0,,"[121.4862149,31.24403695]",暂无信息 ,100户
5011000001428,重庆南路18号,0,,"[121.4779049,31.22685391]",1936年 ,3户
5011000001590,香山路22号,0,,"[121.4720506,31.22190148]",1990年 ,30户
5011000001297,柳市路86号,0,,"[121.5053496,31.21763304]",1984年 ,18户
5011000002615,大吉路26弄,0,,"[121.4932465,31.22090826]",1986年 ,41户
5011000002425,佳志里,0,,"[121.4948128,31.22493674]",1980年 ,1户
5011000004294,南昌路149弄,0,,"[121.469387,31.223195]",1958年 ,2户
5011000003725,南昌路244弄,0,,"[121.4712321,31.22387584]",1930年 ,5户
5011000004499,陕西南路15号,0,,"[121.463558,31.22795715]",1936年 ,5户
5011000003121,生源里,0,,"[121.488069,31.22423754]",1969-1976年 ,372户
5011000005157,徐家汇路398号,0,97794,"[121.4792133,31.21475384]",1983年 ,24户
5011000007353,南昌路260号,0,123318,"[121.4703951,31.22372306]",1973年 ,36户
5011000000093,五福弄45号,0,,"[121.487852,31.24298844]",暂无信息 ,2户
5011102207752,建国西路180号,0,,"[121.4689509,31.2129614]",1980年 ,4户
509821540057140,中华路319号,0,,"[121.50533,31.225856]",1980年 ,2户
5011000009089,长乐路376弄,0,129325,"[121.4682221,31.22735995]",1936-1940年 ,9户
5011000009097,南昌路185号,0,,"[121.467975,31.22217308]",1981年 ,20户
5011000009972,合肥路642号,0,,"[121.477703,31.219876]",1936年 ,1户
5011000009463,祥茂新村,0,,"[121.4791864,31.22727781]",1930-1985年 ,36户
5011000009714,建国西路120弄,0,,"[121.4715005,31.21387883]",1935年 ,15户
5011000010878,永年路44弄,0,,"[121.4873016,31.21819651]",1975年 ,5户
5011000010079,香山路14-16号,0,,"[121.4723179,31.22196556]",1936-1940年 ,5户
5011000009914,思南路82弄,0,,"[121.4768188,31.21558236]",1970-1980年 ,8户
5011000011876,瑞金二路153号,0,,"[121.4719783,31.21944364]",1930年 ,1户
5011000011694,江阴路83弄,0,,"[121.4754783,31.23562954]",1936-1937年 ,9户
5011000011683,孙顺里,0,,"[121.4711365,31.22367458]",1936-1997年 ,10户
5011000017388,置地广场,0,,"[121.4889519,31.24218951]",1997年 ,177户
5011000014872,方中小区,0,,"[121.499998,31.231319]",1983年 ,95户
5011000016752,新新综合楼,0,,"[121.4725583,31.24618996]",1993年 ,72户
5011000016700,办公楼黄浦区,0,,"[121.490129,31.22577]",1930-2015年 ,827户
5011000014420,瑞金花园商务楼,0,,"[121.4710025,31.21378218]",1998年 ,140户
5011000019145,进贤老公寓,0,,"[121.4666838,31.22816103]",1948年 ,1户
5011000017902,紫勋雍邸,0,150867,"[121.472423,31.228739]",1959-2006年 ,149户
5011000006636,马当路420号,0,136230,"[121.4818697,31.21989271]",1982年 ,20户
5011000006183,瞿溪路129弄,0,,"[121.5010709,31.21235568]",1964年 ,7户
5011000005813,绍兴路33-35号,0,108778,"[121.469144,31.214784]",1979年 ,66户
5011000006272,永嘉路15弄,0,,"[121.4713138,31.21740816]",1930-1935年 ,12户
5011000006689,进贤路191号,0,122665,"[121.4652183,31.22750169]",1981年 ,20户
5011000010724,绍兴路38号,0,,"[121.4714954,31.21603241]",1995年 ,1户
5011000003902,曹市弄42弄,0,,"[121.497002,31.224486]",1984年 ,20户
5012970630066428,新闸路403-405号,0,,"[121.4725280582,31.24476954574]",2006年 ,2户
5020031225445937,南京东路120号,0,,"[121.493563,31.24398]",1934年 ,2户
5020031220203336,药局弄69弄,0,,"[121.503124,31.224004]",暂无信息 ,1户
5020031295709386,西仓桥街93号,0,,"[121.496887,31.226107]",暂无信息 ,1户
5011000006824,延安东路401弄,0,,"[121.4866295,31.23508256]",1985年 ,7户
5015051741760861,巨鹿路393弄,0,,"[121.465386,31.228741]",1939-1996年 ,4户
5020023197323593,南车站路41弄,0,,"[121.490935,31.224224]",1985-1995年 ,4户
5011000008006,温州路100弄,0,,"[121.4763489,31.24393962]",1999年 ,2户
5011000006431,局门路241弄,0,,"[121.487494,31.212102]",1940-1995年 ,14户
5020031981910873,曹市弄57弄,0,,"[121.496135,31.224506]",1959年 ,1户
5011000011893,香山路18弄,0,,"[121.4721883,31.22193792]",1970年 ,12户
5011000005278,肇周路300号,0,,"[121.4875374,31.21996641]",暂无信息 ,2户
5011000005329,合肥路588号,0,,"[121.4786482,31.21981466]",1936年 ,1户
5020022114886825,重庆北路143-175号,0,,"[121.476474,31.232247]",1936-1940年 ,15户
5011000007491,巨鹿路395弄,0,,"[121.4648864,31.22863904]",1936-1985年 ,9户
5010812797498192,厦门路115-139号,0,,"[121.482851,31.245463]",1990年 ,92户
5011000008503,安澜路13弄,0,,"[121.4933192,31.22168855]",1978年 ,40户
5011000003615,皋兰路23号,0,,"[121.4720121,31.22280135]",暂无信息 ,1户
5011000009949,合肥路644号,0,,"[121.4776262,31.21982199]",1936年 ,1户
5011000005077,中华路367号,0,,"[121.5051058,31.22515568]",1983年 ,5户
5020031776245719,浙江中路666,0,,"[121.483146,31.246663]",暂无信息 ,1户
5020030341254934,赵家宅路48号,0,,"[121.496493,31.226944]",暂无信息 ,4户
5020031761565548,永年路92弄,0,,"[121.4865,31.218432]",1999年 ,3户
5020031851884829,大吉路175,0,,"[121.490812,31.219795]",暂无信息 ,1户
5020027122877367,合肥路616号,0,,"[121.47847,31.219841]",1965年 ,2户
5012970459410855,中山南一路300号,0,,"[121.4925896232,31.205728762929]",暂无信息 ,1户
5012970492703662,河南中路541号,0,,"[121.49042410461,31.245387570514]",暂无信息 ,1户
5020034468090221,望云路155弄,0,,"[121.499773,31.225457]",暂无信息 ,1户
5011000004682,中华路969弄,0,,"[121.4982876,31.22064183]",暂无信息 ,2户
5020034377879809,瑞金二路31号,0,,"[121.470811,31.224213]",暂无信息 ,1户
5011000015642,淮海坊,0,,"[121.46743903235,31.222613763191]",1930-2010年 ,151户
5011000004568,西藏南路1135弄,0,,"[121.4934014,31.21637343]",1973年 ,17户
5011000000919,南京东路146弄,0,,"[121.4935262,31.2441139]",暂无信息 ,4户
5011000009517,寿宁路28弄,0,,"[121.4887,31.229923]",1995年 ,9户
5011000004990,大吉路44弄14支弄,0,,"[121.4929715,31.22064661]",1980年 ,182户
5011000007019,梨园坊,0,,"[121.487702,31.218802]",1936-1995年 ,82户
5011000007424,新昌路361弄,0,,"[121.474042,31.24290641]",1942年 ,5户
5020035167756191,进贤路224号,0,,"[121.464381,31.227559]",1936年 ,1户
5020024884218132,复兴中路87弄,0,,"[121.487473,31.223433]",1930年 ,2户
5020035298953331,浙江中路649-651号,0,,"[121.482954,31.246114]",暂无信息 ,1户
5020033824056925,石潭弄206号,0,,"[121.486374,31.244171]",暂无信息 ,1户
5020033862895299,西唐家弄103号,0,,"[121.500265,31.22595]",暂无信息 ,1户
5020033607888538,山东中路140弄,0,,"[121.491715,31.239544]",暂无信息 ,3户
5011102208312,积福里,0,,"[121.4855304,31.24297956]",1930年 ,1户
5020021909207083,新鑫大厦,0,,"[121.471775,31.225314]",2012年 ,1户
5020034047549137,宁波路284弄,0,,"[121.488447,31.244888]",暂无信息 ,3户
5011000018446,大沽路218号,0,,"[121.4764878,31.23203829]",暂无信息 ,2户
5011000003078,雁荡路68号,0,,"[121.4761991,31.22572117]",暂无信息 ,2户
5012970569248903,普育西路112弄1号,0,,"[121.50046704927,31.216262639517]",暂无信息 ,1户
5020032313497659,河南中路30号,0,,"[121.493588,31.237277]",暂无信息 ,3户
5020023550882851,光启路131号,0,,"[121.501108,31.229285]",暂无信息 ,3户
5011000001911,进贤路138弄,0,,"[121.4661985,31.22783495]",暂无信息 ,2户
5011000006322,合肥路366弄,0,,"[121.48316060538,31.221044834454]",1936-1965年 ,7户
5012970675942145,宁波路443号,0,,"[121.48559058631,31.243298512975]",暂无信息 ,1户
5012970630066433,新闸路427号,0,,"[121.47187508082,31.24448166808]",暂无信息 ,1户
5011102208229,宁波路349号,0,,"[121.4872121,31.24411053]",暂无信息 ,6户
5020032283057920,康家弄84号,0,,"[121.502615,31.230485]",暂无信息 ,1户
5011000011874,巨鹿路425弄,0,,"[121.4638633,31.2282617]",2010年 ,2户
5012970492703657,河南中路42号,0,,"[121.49338337134,31.237570038277]",1932年 ,1户
5012970492703304,丽园路883号,0,,"[121.4819049996,31.212525864109]",暂无信息 ,3户
5020034779590651,静修路35弄,0,,"[121.494538,31.226244]",暂无信息 ,1户
5020035042779699,肇周路90-94号,0,,"[121.488885,31.22269]",暂无信息 ,1户
5011000006808,梦花街78弄,0,,"[121.4948728,31.22473903]",暂无信息 ,8户
5011000007218,先棉祠街59号,0,,"[121.4976006,31.22301798]",暂无信息 ,4户
5020035105689468,成都南路91、93、95号,0,,"[121.474299,31.227698]",暂无信息 ,3户
5016389506369998,药局弄85号,0,,"[121.503083,31.223769]",1992年 ,40户
5012970569249130,乔家路50号,0,,"[121.50394754475,31.222252705769]",暂无信息 ,1户
5020036063668639,学院路59号,0,,"[121.502773,31.229085]",暂无信息 ,8户
5011000011300,南昌路205弄,0,,"[121.4673057,31.22165968]",暂无信息 ,8户
5011000000982,中华新村(黄浦),1,151875,"[121.504208,31.227517]",1948年 ,5户
5012970492703291,丽园路567号,0,,"[121.487548268,31.213203414603]",1997年 ,2户
5015619982921177,淡水路219号,0,,"[121.479685,31.223261]",暂无信息 ,3户
5020027700925355,紫霞路103-107号,0,,"[121.509249,31.224068]",2012年 ,1户
5011000007398,人民路948弄,0,,"[121.489511,31.229382]",1983年 ,3户
5011000006581,中华路1316弄,0,,"[121.491938,31.222192]",1978年 ,30户
5011000000368,学宫街43弄,0,,"[121.4951392,31.22402407]",1985年 ,6户
5020034042307714,懋德里,0,,"[121.475193,31.238044]",1936年 ,10户
5020034188062213,绍兴路32号,0,,"[121.471692,31.216185]",暂无信息 ,1户
5011000001924,瑞金二路65号,0,,"[121.4709976,31.22334709]",1935-1946年 ,3户
5011000004854,俞家弄141号,0,,"[121.5025086,31.22277865]",暂无信息 ,2户
509821540057228,汉口路425号,0,118271,"[121.48891514943,31.240705252461]",1984年 ,36户
5011000007362,庄家街34号,0,,"[121.4949534,31.22627057]",暂无信息 ,2户
5011000000247,乔家路104号,0,,"[121.5032518,31.22276885]",1981年 ,20户
5020033831398942,广西南路6-10号,0,,"[121.486917,31.234844]",暂无信息 ,1户
5020034552047497,局门路227号,0,,"[121.487461,31.212217]",1986年 ,1户
5011000011633,思南路97号,0,,"[121.4763056,31.21711045]",1936-1989年 ,145户
5011000004698,建国西路46号,0,114171,"[121.472597,31.214475]",1981年 ,20户
5011000004530,复兴东路404弄,0,,"[121.5032216,31.22706057]",1949-1985年 ,161户
5012970538840465,山东中路89号,0,,"[121.49135461303,31.238560207558]",暂无信息 ,1户
5020038303944097,艾家弄24号,0,,"[121.500132,31.226765]",暂无信息 ,1户
5020039037952748,三和里,0,,"[121.491952,31.24713]",暂无信息 ,1户
5011000010969,瞿溪路566弄,0,,"[121.49303,31.20829918]",1987-2006年 ,47户
5020038987803832,进贤路226号,0,,"[121.464464,31.227576]",1952年 ,1户
5020039042325462,高家弄37弄,0,,"[121.495928,31.225861]",暂无信息 ,1户
5020024152010885,大吉路310弄,0,,"[121.488541,31.21863]",1955年 ,3户
5020021557898033,重庆南路2号,0,,"[121.477704,31.227437]",1970年 ,9户
5011000014327,中港汇黄浦 ,0,,"[121.477556,31.211004]",2008年 ,239户
5011000005522,建国中路65弄,0,,"[121.4761526,31.21570504]",1996年 ,3户
5011000006365,文庙路60弄,0,,"[121.4970512,31.22442212]",暂无信息 ,2户
5011000008935,肇嘉浜路18弄,0,,"[121.473122,31.211458]",1978-1994年 ,33户
5011000008925,淮海巷,0,,"[121.4744815,31.2274539]",1986-1994年 ,13户
509821540058052,梦花街194号,0,,"[121.49322773991,31.223967346444]",暂无信息 ,2户
509821540319283,复兴中路490号,0,,"[121.47882534331,31.221519706964]",1970-1994年 ,2户
5011102207854,复兴中路586号,0,,"[121.471198,31.220963]",暂无信息 ,2户
5011000009505,复兴中路616弄,0,,"[121.470222,31.220954]",暂无信息 ,7户
5011000009131,淮海中路637弄,0,,"[121.4728659,31.22575498]",1930年 ,26户
5011000009310,南昌路46弄,0,,"[121.4771013,31.22546193]",1930年 ,6户
5011000009881,正元里,0,,"[121.4740917,31.22773629]",1965年 ,7户
5011000009956,绍兴路44号,0,,"[121.4712974,31.21593705]",暂无信息 ,3户
5011000010088,人安里,0,172414,"[121.477799,31.241625]",1995-2009年 ,27户
5011000007564,中山南一路256弄,0,,"[121.4928534,31.20568438]",1975年 ,79户
5011000006927,南昌路310弄,0,,"[121.4686193,31.22281833]",1948年 ,10户
5011000004866,南昌路58号,1,228735,"[121.4767003,31.22545359]",1936年 ,1户
5012970523374370,延安中路527号,0,105030,"[121.46679478587,31.229742338797]",1977年 ,64户
5011000004706,西仓桥街159号,0,,"[121.4956085,31.22601036]",1950年 ,2户
509977363956354,天津路44弄,0,,"[121.49181025873,31.244697565969]",暂无信息 ,16户
5011102208149,山西南路54号,0,,"[121.4899621,31.24079567]",暂无信息 ,1户
5011000005357,天津路195弄,0,,"[121.489625,31.243636]",1936-1954年 ,137户
5020036796775226,贵州路82号,0,,"[121.481984,31.242519]",暂无信息 ,2户
