idx,symbol,industry,sector
0,ZYME,生物技术,医疗保健
1,ZYBT,药品制造商,医疗保健
2,ZVRA,生物技术,医疗保健
3,ZURA,生物技术,医疗保健
4,ZUMZ,服装零售,可选消费
5,ZTG,咨询服务,工业
6,ZTEK,医疗仪器用品,医疗保健
7,ZSTK,资产管理,金融服务
8,ZSQR,软件,科技
9,ZS,软件,科技
10,ZOOZ,电气设备零件,工业
11,ZNTL,生物技术,医疗保健
12,ZNB,娱乐,通讯服务
13,ZM,软件,科技
14,ZLAB,生物技术,医疗保健
15,ZKPU,空壳公司,金融服务
16,ZKP,空壳公司,金融服务
17,ZKIN,钢铁,基础材料
18,ZJYL,医疗仪器用品,医疗保健
19,ZJK,专业工业机械,工业
20,ZIONP,区域性银行,金融服务
21,ZION,区域性银行,金融服务
22,ZG,互联网内容信息,通讯服务
23,ZEO,太阳能,科技
24,ZENA,软件,科技
25,ZDAI,工程与建筑,工业
26,ZD,广告代理,通讯服务
27,ZCMD,健康信息服务,医疗保健
28,ZBRA,通信设备,科技
29,ZBIO,生物技术,医疗保健
30,ZBAO,保险经纪,金融服务
31,Z,互联网内容信息,通讯服务
32,YYGH,专业商业服务,工业
33,YYAI,软件,科技
34,YXT,软件,科技
35,YTRA,旅行服务,可选消费
36,YSXT,专业商业服务,工业
37,YSWY,杂货店,必需消费
38,YQ,教育培训服务,必需消费
39,YOUL,教育培训服务,必需消费
40,YORW,受监管水务公司,公用事业
41,YMT,软件,科技
42,YMAT,专业化学品,基础材料
43,YJ,互联网零售,可选消费
44,YICCU,空壳公司,金融服务
45,YICC,空壳公司,金融服务
46,YIBO,计算机硬件,科技
47,YI,医疗分销,医疗保健
48,YHNA,空壳公司,金融服务
49,YHGJ,包装容器,可选消费
50,YHC,酒庄与酿酒厂,必需消费
51,YDKG,广告代理,通讯服务
52,YDES,生物技术,医疗保健
53,YDDL,废物管理,工业
54,YB,软件,科技
55,YARW,生物技术,医疗保健
56,YAAS,软件,科技
57,XXII,烟草,必需消费
58,XWEL,诊断与研究,医疗保健
59,XTLB,生物技术,医疗保健
60,XTIA,航空航天国防,工业
61,XSLL,空壳公司,金融服务
62,XRX,商业设备用品,工业
63,XRTX,生物技术,医疗保健
64,XRPNU,空壳公司,金融服务
65,XRPN,空壳公司,金融服务
66,XRAY,医疗仪器用品,医疗保健
67,XPON,电气设备零件,工业
68,XPEL,汽车零部件,可选消费
69,XP,资本市场,金融服务
70,XOS,农用重型机械,工业
71,XNET,软件,科技
72,XNDU,软件,科技
73,XNCR,生物技术,医疗保健
74,XMTR,工业分销,工业
75,XMAX,家用器具家电,可选消费
76,XLO,生物技术,医疗保健
77,XIIIU,空壳公司,金融服务
78,XHLD,广播媒体,通讯服务
79,XHG,保险经纪,金融服务
80,XGN,诊断与研究,医疗保健
81,XFOR,生物技术,医疗保健
82,XERS,药品制造商,医疗保健
83,XENE,生物技术,医疗保健
84,XELB,服装制造,可选消费
85,XEL,受监管电力公司,公用事业
86,XE,专业工业机械,工业
87,XCUR,生物技术,医疗保健
88,XCH,电气设备零件,工业
89,XCBE,空壳公司,金融服务
90,XBP,软件,科技
91,XBIT,生物技术,医疗保健
92,XBIO,生物技术,医疗保健
93,XAIR,医疗设备,医疗保健
94,WYNN,度假村与赌场,可选消费
95,WYHG,包装食品,必需消费
96,WYFI,信息技术服务,科技
97,WXM,工业分销,工业
98,WWD,航空航天国防,工业
99,WW,医疗设施,医疗保健
100,WVVIP,酒庄与酿酒厂,必需消费
101,WVVI,酒庄与酿酒厂,必需消费
102,WVE,生物技术,医疗保健
103,WULF,资本市场,金融服务
104,WTW,保险经纪,金融服务
105,WTG,空壳公司,金融服务
106,WTFCN,区域性银行,金融服务
107,WTFC,区域性银行,金融服务
108,WTF,资本市场,金融服务
109,WTBA,区域性银行,金融服务
110,WSTN,空壳公司,金融服务
111,WSHP,互联网内容信息,通讯服务
112,WSFS,区域性银行,金融服务
113,WSE,信息技术服务,科技
114,WSC,租赁服务,工业
115,WSBK,区域性银行,金融服务
116,WSBF,区域性银行,金融服务
117,WSBCO,区域性银行,金融服务
118,WSBC,区域性银行,金融服务
119,WRLD,信贷服务,金融服务
120,WRD,软件,科技
121,WRAP,科学技术仪器,科技
122,WPRT,汽车零部件,可选消费
123,WOOF,专业零售,可选消费
124,WOK,医疗设备,医疗保健
125,WNW,互联网零售,可选消费
126,WNEB,区域性银行,金融服务
127,WMT,折扣商店,必需消费
128,WMG,娱乐,通讯服务
129,WLTH,软件,科技
130,WLII,空壳公司,金融服务
131,WLFC,租赁服务,工业
132,WLDS,消费电子,科技
133,WLDN,工程与建筑,工业
134,WLCO,空壳公司,金融服务
135,WKSP,汽车零部件,可选消费
136,WKHS,汽车制造,可选消费
137,WKEY,半导体,科技
138,WIX,软件,科技
139,WING,餐厅,可选消费
140,WINA,专业零售,可选消费
141,WIMI,广告代理,通讯服务
142,WILC,食品分销,必需消费
143,WHWK,生物技术,医疗保健
144,WHLRP,零售地产REIT,房地产
145,WHLRD,零售地产REIT,房地产
146,WHLR,零售地产REIT,房地产
147,WHF,资产管理,金融服务
148,WGS,诊断与研究,医疗保健
149,WFRD,石油天然气设备服务,能源
150,WFF,专业工业机械,工业
151,WFCF,专业商业服务,工业
152,WEYS,鞋类与配饰,可选消费
153,WETO,软件,科技
154,WETH,电子元件,科技
155,WEST,包装食品,必需消费
156,WERN,卡车运输,工业
157,WENN,空壳公司,金融服务
158,WEN,餐厅,可选消费
159,WDFC,专业化学品,基础材料
160,WDC,计算机硬件,科技
161,WDAY,软件,科技
162,WCT,软件,科技
163,WBUY,互联网零售,可选消费
164,WBTN,互联网内容信息,通讯服务
165,WBD,娱乐,通讯服务
166,WB,互联网内容信息,通讯服务
167,WAY,健康信息服务,医疗保健
168,WAVE,可再生能源公用事业,公用事业
169,WATT,通信设备,科技
170,WATR,工业分销,工业
171,WASH,区域性银行,金融服务
172,WALD,家庭个人用品,必需消费
173,WAFU,教育培训服务,必需消费
174,WAFDP,区域性银行,金融服务
175,WAFD,区域性银行,金融服务
176,WABC,区域性银行,金融服务
177,VYGR,生物技术,医疗保健
178,VWAV,航空航天国防,工业
179,VVOS,医疗设备,医疗保健
180,VUZI,消费电子,科技
181,VTVT,生物技术,医疗保健
182,VTSI,软件,科技
183,VTRS,药品制造商,医疗保健
184,VTIX,计算机硬件,科技
185,VTGN,生物技术,医疗保健
186,VSTM,生物技术,医疗保健
187,VSNT,娱乐,通讯服务
188,VSME,广告代理,通讯服务
189,VSECU,航空航天国防,工业
190,VSEC,航空航天国防,工业
191,VSAT,通信设备,科技
192,VSA,教育培训服务,必需消费
193,VS,软件,科技
194,VRXA,生物技术,医疗保健
195,VRTX,生物技术,医疗保健
196,VRSN,软件,科技
197,VRSK,咨询服务,工业
198,VRRM,信息技术服务,科技
199,VRNS,软件,科技
200,VRME,安保服务,工业
201,VRM,信贷服务,金融服务
202,VREX,医疗设备,医疗保健
203,VRDN,生物技术,医疗保健
204,VRCA,生物技术,医疗保健
205,VRAX,生物技术,医疗保健
206,VRA,鞋类与配饰,可选消费
207,VOXR,贵金属采矿,基础材料
208,VOR,生物技术,医疗保健
209,VOGX,生物技术,医疗保健
210,VOD,电信服务,通讯服务
211,VNOM,石油天然气,能源
212,VNME,空壳公司,金融服务
213,VNET,信息技术服务,科技
214,VNDA,生物技术,医疗保健
215,VNCE,服装制造,可选消费
216,VMET,贵金属采矿,基础材料
217,VMD,医疗设备,医疗保健
218,VMAR,休闲车辆,可选消费
219,VLYPP,区域性银行,金融服务
220,VLYPO,区域性银行,金融服务
221,VLYPN,区域性银行,金融服务
222,VLY,区域性银行,金融服务
223,VLOS,空壳公司,金融服务
224,VLGEA,杂货店,必需消费
225,VKTX,生物技术,医疗保健
226,VIVS,生物技术,医疗保健
227,VIVO,软件,科技
228,VIVK,石油天然气,能源
229,VITL,农产品,必需消费
230,VISN,通信设备,科技
231,VIRC,家用器具家电,可选消费
232,VIR,生物技术,医疗保健
233,VIP,资本市场,金融服务
234,VIOT,家用器具家电,可选消费
235,VINP,资产管理,金融服务
236,VICR,电子元件,科技
237,VIAV,通信设备,科技
238,VHUB,杂货店,必需消费
239,VHCP,空壳公司,金融服务
240,VHC,软件,科技
241,VGAS,可再生能源公用事业,公用事业
242,VFS,汽车制造,可选消费
243,VFF,农产品,必需消费
244,VERX,软件,科技
245,VERU,生物技术,医疗保健
246,VERI,软件,科技
247,VERA,生物技术,医疗保健
248,VEON,电信服务,通讯服务
249,VELO,计算机硬件,科技
250,VEEE,休闲车辆,可选消费
251,VEEA,信息技术服务,科技
252,VECO,半导体设备材料,科技
253,VCYT,诊断与研究,医疗保健
254,VCTR,资产管理,金融服务
255,VCRE,生物技术,医疗保健
256,VCIG,咨询服务,工业
257,VCEL,生物技术,医疗保健
258,VC,汽车零部件,可选消费
259,VBNK,区域性银行,金融服务
260,VBIO,生物技术,医疗保健
261,VANI,生物技术,医疗保健
262,VALU,金融证券交易所,金融服务
263,VALN,生物技术,医疗保健
264,VABK,区域性银行,金融服务
265,UZX,互联网零售,可选消费
266,UYSC,空壳公司,金融服务
267,UXIN,汽车卡车经销,可选消费
268,UVSP,区域性银行,金融服务
269,UTSI,通信设备,科技
270,UTMD,医疗仪器用品,医疗保健
271,UTHR,药品制造商,医疗保健
272,USLM,建筑材料,基础材料
273,USIO,软件,科技
274,USGO,工业金属采矿,基础材料
275,USEA,海运,工业
276,USDE,资本市场,金融服务
277,USCB,区域性银行,金融服务
278,USAU,黄金,基础材料
279,USAR,工业金属采矿,基础材料
280,UROY,铀业,能源
281,URGN,生物技术,医疗保健
282,URBN,服装零售,可选消费
283,UPXI,互联网内容信息,通讯服务
284,UPWK,互联网内容信息,通讯服务
285,UPST,信贷服务,金融服务
286,UPLD,软件,科技
287,UPC,药品制造商,医疗保健
288,UPBD,软件,科技
289,UPB,生物技术,医疗保健
290,UONEK,广播媒体,通讯服务
291,UONE,广播媒体,通讯服务
292,UNTY,区域性银行,金融服务
293,UNIT,特殊品类REIT,房地产
294,UNCY,生物技术,医疗保健
295,UNB,区域性银行,金融服务
296,UMBFO,区域性银行,金融服务
297,UMBF,区域性银行,金融服务
298,ULTA,专业零售,可选消费
299,ULH,卡车运输,工业
300,ULCC,航空公司,工业
301,ULBI,电气设备零件,工业
302,UK,房地产,房地产
303,UG,家庭个人用品,必需消费
304,UFPT,医疗设备,医疗保健
305,UFPI,木材木制品生产,基础材料
306,UFG,海运,工业
307,UFCS,财产意外保险,金融服务
308,UEIC,消费电子,科技
309,UCTT,半导体设备材料,科技
310,UCL,电信服务,通讯服务
311,UCAR,汽车卡车经销,可选消费
312,UBSI,区域性银行,金融服务
313,UBCP,区域性银行,金融服务
314,UAL,航空公司,工业
315,TZOO,互联网内容信息,通讯服务
316,TYRA,生物技术,医疗保健
317,TYGO,太阳能,科技
318,TXRH,餐厅,可选消费
319,TXN,半导体,科技
320,TXMD,药品制造商,医疗保健
321,TXG,健康信息服务,医疗保健
322,TWST,诊断与研究,医疗保健
323,TWLV,空壳公司,金融服务
324,TWIN,专业工业机械,工业
325,TWG,食品分销,必需消费
326,TWFG,保险经纪,金融服务
327,TWAV,资产管理,金融服务
328,TW,资本市场,金融服务
329,TVTX,生物技术,医疗保健
330,TVRD,生物技术,医疗保健
331,TVIVU,空壳公司,金融服务
332,TVIV,空壳公司,金融服务
333,TVGN,生物技术,医疗保健
334,TVAI,空壳公司,金融服务
335,TVA,空壳公司,金融服务
336,TUSK,综合企业,工业
337,TURB,太阳能,科技
338,TULP,农产品,必需消费
339,TTWO,电子游戏多媒体,通讯服务
340,TTRX,生物技术,医疗保健
341,TTMI,电子元件,科技
342,TTGT,信息技术服务,科技
343,TTEK,工程与建筑,工业
344,TTEC,信息技术服务,科技
345,TTD,广告代理,通讯服务
346,TTAN,软件,科技
347,TSSI,信息技术服务,科技
348,TSLA,汽车制造,可选消费
349,TSHA,生物技术,医疗保健
350,TSEM,半导体,科技
351,TSCO,专业零售,可选消费
352,TSBK,区域性银行,金融服务
353,TSAT,通信设备,科技
354,TRVI,生物技术,医疗保健
355,TRVG,互联网内容信息,通讯服务
356,TRUP,财产意外保险,金融服务
357,TRUG,休闲,可选消费
358,TRST,区域性银行,金融服务
359,TRSG,金属加工,工业
360,TRS,包装容器,可选消费
361,TROW,资产管理,金融服务
362,TROO,信贷服务,金融服务
363,TRON,休闲,可选消费
364,TRNS,专业商业服务,工业
365,TRNR,个人服务,可选消费
366,TRMK,区域性银行,金融服务
367,TRMD,石油天然气,能源
368,TRMB,科学技术仪器,科技
369,TRIP,旅行服务,可选消费
370,TRIB,医疗设备,医疗保健
371,TRI,专业商业服务,工业
372,TRGS,空壳公司,金融服务
373,TREO,工业金属采矿,基础材料
374,TREE,金融集团,金融服务
375,TRDA,生物技术,医疗保健
376,TRAX,生物技术,医疗保健
377,TRAW,生物技术,医疗保健
378,TPST,生物技术,医疗保健
379,TPG,资产管理,金融服务
380,TPCS,金属加工,工业
381,TOYO,太阳能,科技
382,TOWN,区域性银行,金融服务
383,TOUR,旅行服务,可选消费
384,TORO,石油天然气,能源
385,TOP,资本市场,金融服务
386,TONX,软件,科技
387,TOMZ,污染处理控制,工业
388,TNYA,生物技术,医疗保健
389,TNXP,生物技术,医疗保健
390,TNON,医疗设备,医疗保健
391,TNMG,出版,通讯服务
392,TNGX,生物技术,医疗保健
393,TNDM,医疗设备,医疗保健
394,TMUS,电信服务,通讯服务
395,TMTS,空壳公司,金融服务
396,TMS,金融集团,金融服务
397,TMDX,医疗设备,医疗保健
398,TMCR,工业金属采矿,基础材料
399,TMCI,医疗设备,医疗保健
400,TMC,工业金属采矿,基础材料
401,TLX,生物技术,医疗保健
402,TLSI,医疗设备,医疗保健
403,TLSA,生物技术,医疗保健
404,TLS,软件,科技
405,TLRY,药品制造商,医疗保健
406,TLPH,药品制造商,医疗保健
407,TLNCU,空壳公司,金融服务
408,TLNC,空壳公司,金融服务
409,TLN,独立发电商,公用事业
410,TLIH,工业分销,工业
411,TLF,专业零售,可选消费
412,TKNO,药品制造商,医疗保健
413,TKLF,专业零售,可选消费
414,TJGC,广告代理,通讯服务
415,TITN,工业分销,工业
416,TIPT,资产管理,金融服务
417,TILE,家用器具家电,可选消费
418,TIL,生物技术,医疗保健
419,TIGR,资本市场,金融服务
420,TIGO,电信服务,通讯服务
421,THRY,软件,科技
422,THRM,汽车零部件,可选消费
423,THH,专业商业服务,工业
424,THFF,区域性银行,金融服务
425,THEOU,空壳公司,金融服务
426,THEO,空壳公司,金融服务
427,THCH,餐厅,可选消费
428,TH,专业商业服务,工业
429,TGTX,生物技术,医疗保健
430,TGL,软件,科技
431,TGHL,软件,科技
432,TFSL,区域性银行,金融服务
433,TER,半导体设备材料,科技
434,TENX,生物技术,医疗保健
435,TENB,软件,科技
436,TEM,健康信息服务,医疗保健
437,TELO,生物技术,医疗保健
438,TELA,医疗设备,医疗保健
439,TECX,生物技术,医疗保健
440,TECH,生物技术,医疗保健
441,TEAM,软件,科技
442,TEAD,互联网内容信息,通讯服务
443,TDWD,空壳公司,金融服务
444,TDUP,互联网零售,可选消费
445,TDTH,信息技术服务,科技
446,TDIC,广告代理,通讯服务
447,TDACU,空壳公司,金融服务
448,TDAC,空壳公司,金融服务
449,TCX,软件,科技
450,TCRX,生物技术,医疗保健
451,TCRT,生物技术,医疗保健
452,TCPC,资产管理,金融服务
453,TCOM,旅行服务,可选消费
454,TCMD,医疗设备,医疗保健
455,TCGX,空壳公司,金融服务
456,TCBS,区域性银行,金融服务
457,TCBK,区域性银行,金融服务
458,TCBIO,区域性银行,金融服务
459,TCBI,区域性银行,金融服务
460,TC,广告代理,通讯服务
461,TBPH,生物技术,医疗保健
462,TBLA,互联网内容信息,通讯服务
463,TBCVU,空壳公司,金融服务
464,TBCH,消费电子,科技
465,TBBK,区域性银行,金融服务
466,TAYD,专业工业机械,工业
467,TAVI,空壳公司,金融服务
468,TATT,航空航天国防,工业
469,TASK,信息技术服务,科技
470,TARS,生物技术,医疗保健
471,TARA,生物技术,医疗保健
472,TAOX,资本市场,金融服务
473,TAOP,软件,科技
474,TANH,家庭个人用品,必需消费
475,TACT,计算机硬件,科技
