,symbol,buy_date,price,adjbase,size,p&l,p&l_ratio,industry
0,COIN,2026-02-20,171.35000610351562,205.7100067138672,58.0,1992.8800354003906,0.2005252371546113,金融证券交易所
1,ORCL,2026-03-03,149.00999450683594,154.7899932861328,67.0,387.2599182128906,0.03878933623497123,软件
2,SHOP,2026-03-02,119.37999725341797,134.7899932861328,83.0,1279.029670715332,0.12908356833015122,软件
3,ASAN,2026-03-02,7.300000190734863,7.909999847412109,1369.0,835.0895299911499,0.08356159462179956,软件
4,ADBE,2026-03-02,260.8800048828125,281.739990234375,38.0,792.679443359375,0.07996007728124975,软件
5,GCT,2026-03-02,43.0099983215332,43.65999984741211,232.0,150.80035400390625,0.015112800540461291,软件
6,DV,2026-02-27,10.539999961853027,10.920000076293945,948.0,360.24010848999023,0.036053141918048974,软件
7,NOW,2026-02-26,109.30000305175781,120.37999725341797,91.0,1008.2794723510742,0.10137231374470637,软件
8,RAMP,2026-02-24,25.84000015258789,29.260000228881836,386.0,1320.120029449463,0.13235294334746475,软件
9,FIVN,2026-02-20,19.31999969482422,18.239999771118164,517.0,-558.3599605560303,-0.05590061805204811,软件
10,FIG,2026-02-13,22.530000686645508,30.299999237060547,443.0,3442.1093578338623,0.34487342714643804,软件
11,GEMI,2026-03-03,6.5,9.25,1538.0,4229.5,0.4230769230769231,资本市场
12,HOOD,2026-02-20,76.11000061035156,80.55999755859375,131.0,582.9496002197266,0.05846796626666894,资本市场
13,CRCL,2026-02-18,63.150001525878906,105.73999786376953,158.0,6729.219421386719,0.6744258956262609,资本市场
14,SMCI,2026-02-25,33.599998474121094,32.2400016784668,297.0,-403.9190483093262,-0.040476096946902365,计算机硬件
15,RDW,2026-02-26,9.550000190734863,9.069999694824219,1047.0,-502.5605192184448,-0.050261831028687025,航空航天国防
16,SOC,2026-03-04,10.09000015258789,13.850000381469727,991.0,3726.1602268218994,0.3726462013895479,石油天然气钻探
17,INVX,2026-01-05,23.90999984741211,26.920000076293945,418.0,1258.1800956726074,0.12588875985323866,石油天然气设备服务
18,OXY,2026-01-23,44.099998474121094,53.2400016784668,226.0,2065.640724182129,0.20725631565972208,石油天然气勘探生产
19,DVN,2026-01-14,37.91999816894531,44.52000045776367,263.0,1735.8006019592285,0.17405070167496606,石油天然气勘探生产
20,NAT,2026-01-07,3.759999990463257,5.579999923706055,2659.0,4839.3798224925995,0.48404253666462427,石油天然气
21,AMPX,2026-02-26,11.520000457763672,14.890000343322754,868.0,2925.159900665283,0.29253470066383014,电气设备零件
22,DAWN,2026-03-04,12.869999885559082,12.779999732971191,777.0,-69.93011856079102,-0.006993018911280352,生物技术
23,TYRA,2026-02-27,33.310001373291016,34.540000915527344,300.0,368.99986267089844,0.03692583282877255,生物技术
24,SLNO,2026-02-25,41.0099983215332,38.56999969482422,243.0,-592.9196662902832,-0.05949765244022966,生物技术
25,CLDX,2026-02-24,24.84000015258789,29.360000610351562,402.0,1817.040184020996,0.1819645905796328,生物技术
26,PVLA,2026-02-19,82.33000183105469,134.9499969482422,121.0,6367.0194091796875,0.6391351141369629,生物技术
27,IOVA,2026-02-11,2.5999999046325684,4.579999923706055,3846.0,7615.080073356628,0.7615384968074834,生物技术
28,RLAY,2026-01-27,8.5,9.640000343322754,1176.0,1340.6404037475586,0.13411768744973576,生物技术
29,ORIC,2026-01-07,8.680000305175781,13.850000381469727,1152.0,5955.840087890625,0.5956221076641133,生物技术
30,NVAX,2025-12-22,6.889999866485596,9.989999771118164,1451.0,4498.099861621857,0.4499274259367722,生物技术
31,NTLA,2025-12-04,9.739999771118164,13.149999618530273,1026.0,3498.659843444824,0.3501026619655287,生物技术
32,NIO,2026-02-20,5.070000171661377,4.71999979019165,1972.0,-690.2007522583008,-0.06903360347521166,汽车制造
33,LULU,2026-02-18,182.1300048828125,173.17999267578125,54.0,-483.3006591796875,-0.0491407893652116,服装零售
34,UTI,2026-02-13,30.350000381469727,35.06999969482422,329.0,1552.879774093628,0.15551892105531243,教育培训服务
35,ABR,2026-02-27,7.929999828338623,8.59000015258789,1261.0,832.2604088783264,0.08322828985325982,抵押贷款REIT
36,COST,2025-12-30,865.6500244140625,982.5700073242188,11.0,1286.1198120117188,0.13506611172257119,折扣商店
37,ARLO,2026-02-26,12.34000015258789,14.229999542236328,810.0,1530.8995056152344,0.15316040245364787,建筑产品设备
38,UAMY,2026-02-25,9.149999618530273,9.260000228881836,1092.0,120.12066650390625,0.012021925129788304,工业金属采矿
39,SGML,2026-02-11,13.619999885559082,12.350000381469727,734.0,-932.1796360015869,-0.0932451919794729,工业金属采矿
40,NFLX,2026-02-26,84.58999633789062,99.16999816894531,118.0,1720.4402160644531,0.17236082825699128,娱乐
41,CRAI,2026-02-27,172.66000366210938,185.38999938964844,57.0,725.6097564697266,0.07372868908569755,咨询服务
42,SBET,2026-02-25,7.440000057220459,7.929999828338623,1344.0,658.5596923828125,0.06586018378355028,博彩
43,TER,2025-07-30,107.52999877929688,305.5799865722656,92.0,18220.598876953125,1.8418114948504956,半导体设备材料
44,POET,2026-02-24,6.110000133514404,6.639999866485596,1636.0,867.0795631408691,0.08674299859079404,半导体
45,INSP,2026-03-03,65.80000305175781,62.459999084472656,151.0,-504.3405990600586,-0.05075993635833015,医疗设备
46,ATEC,2026-02-24,13.930000305175781,12.569999694824219,717.0,-975.1204376220703,-0.0976310538806123,医疗设备
47,ENOV,2026-02-04,22.809999465942383,24.31999969482422,438.0,661.3801002502441,0.06619904709495578,医疗设备
48,LXU,2026-01-06,8.90999984741211,13.960000038146973,1122.0,5666.100214004517,0.5667789312254169,化学品
49,BAK,2025-12-26,2.930000066757202,4.909999847412109,3412.0,6755.7592515945435,0.6757678278302176,化学品
50,ECPG,2026-02-04,56.130001068115234,72.68000030517578,178.0,2945.8998641967773,0.2948512189938619,信贷服务
51,BBAI,2026-03-02,4.099999904632568,4.039999961853027,2439.0,-146.33986043930054,-0.014634132725648943,信息技术服务
52,INOD,2026-02-26,47.58000183105469,44.40999984741211,210.0,-665.7004165649414,-0.06662467132511898,信息技术服务
53,RVLV,2026-02-26,26.299999237060547,25.559999465942383,380.0,-281.19991302490234,-0.02813687424277169,互联网零售
54,YELP,2026-02-27,22.290000915527344,24.270000457763672,448.0,887.039794921875,0.08882904714719186,互联网内容信息
